u,v,key,osmid,lanes,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_me,EV1_fr,dam_EV1_al_segments,dam_EV1_al,ref,maxspeed,access
96572595,96584241,0,10869828,2,South 15th Street,residential,False,True,249.653,"[1728, 2211, 198, 2214, 1726, 3295]",168,47.0,0.005,,0.0,"[nan, nan, nan, nan, nan, nan]",0.0,nan,nan,nan
96572595,96572596,0,202526448,4,Beach Boulevard,trunk,True,False,140.883,"[2, 2212, 3298, 2215]",2,56.0,0.003,,0.0,"[nan, nan, nan, nan]",0.0,US 90,35 mph,nan
96572595,2124932288,0,"[45610904, 202526448]","['4', '3']",Beach Boulevard,trunk,True,False,148.72199999999998,"[1793, 1795, 1743]",1034,64.0,0.002,,0.0,"[nan, nan, nan]",0.0,US 90,"['35 mph', '45 mph']",nan
96572596,96768271,0,10883898,nan,Penman Road South,unclassified,False,True,251.42600000000002,"[1792, 2209, 1665, 2179, 1667, 1669, 1286, 3297, 1707, 1740, 1709, 1742, 2710, 1790, 1663]",891,50.0,0.005,,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,nan,nan,nan
96572596,1375396018,0,"[1389713041, 1390302875, 126448299, 86134302]","['3', '2']",Beach Boulevard,"['trunk', 'primary']",True,False,289.492,"[3300, 4, 3397, 1670, 1766, 2935]",4,56.0,0.005,0.46518516540527344,0.7808283689055942,"[nan, nan, 905.0, 126787.0, 30525.0, 9098.0]",167315.0,US 90,35 mph,nan
96572598,96715468,0,10879764,nan,South 12th Street,residential,False,True,170.648,"[3305, 3291, 2163, 1076, 3289, 2171, 2173]",733,47.0,0.004,0.7278947328266344,1.0,"[2044.0, 2058.0, 1705.0, 8099.0, 1917.0, 2873.0, 2322.0]",21018.0,nan,nan,nan
96572598,4377126928,0,10879764,nan,South 12th Street,residential,False,False,21.488999999999997,"[2248, 3306]",1136,47.0,0.0,0.9559999465942383,1.0,"[1269.0, 2009.0]",3278.0,nan,nan,nan
96572598,96572600,0,"[1390906280, 128600936]",5,Beach Boulevard,trunk,False,True,65.265,"[2169, 11, 3425, 2167]",11,56.0,0.001,0.8712499737739563,1.0,"[47879.0, 17480.0, 60762.0, 79740.0]",205861.0,US 90,35 mph,nan
96572598,1375396018,0,128600936,5,Beach Boulevard,trunk,False,False,108.543,"[2176, 2242, 2244, 1733, 3302]",1027,56.0,0.002,0.947857107434954,1.0,"[47873.0, 23716.0, 140247.0, 104455.0, 47520.0]",363811.0,US 90,35 mph,nan
96572600,96634605,0,10886116,nan,11th Street North,residential,False,True,89.21100000000001,"[3321, 642, 2316]",507,47.0,0.002,0.5890909108248624,1.0,"[1701.0, 4144.0, 3281.0]",9126.0,nan,nan,nan
