o_node,d_node,origin,destination,lengthNorm,origin_cnt,category
683300823,1934244652,O_56,D_2,796.0509999999999,1509.23569012,special
762948405,1934244652,O_72,D_2,608.413,1494.48296547,special
776490175,5632424987,O_43,D_0,1250.4670000000003,1202.6553421,special
776513552,5632424987,O_29,D_0,1304.066,1691.79252434,special
776513559,5632424987,O_30,D_0,902.7549999999999,2140.27134323,special
1833313103,13037735223,O_105,"D_5,D_6",379.786,889.95633221,special
1934233691,1934244652,O_90,D_2,591.7789999999999,939.79366302,special
1934753609,13037735221,O_94,D_3,884.844,1154.41796875,special
1934753610,13037735221,O_93,D_3,1269.46,1504.05272293,special
1934771000,13037735222,O_100,D_4,1422.9609999999998,1604.44867325,special
1934771001,13037735223,O_101,"D_5,D_6",1871.145,1239.31250381,special
1935839847,13037735220,O_33,D_1,593.508,1983.5795536,special
1935861255,13037735222,O_51,D_4,2354.4620000000004,1410.83597374,special
1935861369,13037735222,O_65,D_4,1629.832,1729.80155945,special
1935869817,13037735222,O_66,D_4,1964.7859999999996,1821.23622513,special
2568977667,5632424987,O_58,D_0,1808.3049999999998,1890.00128651,special
2569030739,1934244652,O_57,D_2,441.506,208.30379677,special
2593845426,5632424987,O_44,D_0,783.9999999999999,1892.20948792,special
2593853218,13037735220,O_14,D_1,1659.934,1526.03598785,special
2612440655,5632424987,O_47,D_0,1862.5610000000001,1429.69944763,special
3887805309,13037735222,O_50,D_4,2361.423,1570.91852188,special
3887805435,13037735222,O_64,D_4,2009.4659999999997,1678.15233612,special
3930024333,1934244652,O_42,D_2,1536.9219999999996,1122.11662483,special
4723019416,1934244652,O_91,D_2,759.716,1189.68343163,special
4723168145,5632424987,O_46,D_0,1034.745,2258.97821045,special
4723204799,5632424987,O_20,D_0,651.669,2311.43289948,special
4723291246,13037735222,O_97,D_4,241.43200000000002,1161.16336632,special
4816025122,13037735222,O_82,D_4,1187.742,1834.88119125,special
4816491860,13037735221,O_104,D_3,700.273,408.91734695,special
5626439065,1934244652,O_88,D_2,1024.111,32.91176224,special
5635142264,13037735221,O_103,D_3,552.302,83.02479362,special
5639948227,13037735222,O_87,D_4,3201.6159999999995,40.46790886,special
5639948232,13037735222,O_85,D_4,2672.15,1363.85136414,special
