name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,EV1_me,EV1_fr,EV1_me_P,lanes,ref,node_A,node_B,edge_fid,junction,osmid_original
Ava Mártires da Revolução,tertiary,60,False,False,69.433,1730,1209,60.0,0.001,nan,,0.0,4422.84622001,nan,nan,,,nan,nan,820923407
nan,tertiary,nan,True,False,69.485,"[1, 62, 5937]",2,59.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785078
nan,tertiary,nan,True,False,70.626,"[5938, 61, 29]",13,59.0,0.001,nan,,0.0,4422.84622001,nan,nan,,,nan,nan,44785077
Avenida das FPLM,tertiary,nan,True,False,49.296,13,3,59.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785315
Avenida das FPLM,tertiary,60,False,True,36.477,"[12, 1559]",1060,60.0,0.001,nan,,0.0,0.0,2,1344,,,nan,nan,52014468
Avenida das FPLM,tertiary,nan,True,False,49.471,1241,886,59.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785316
Avenida das FPLM,tertiary,nan,False,True,38.836,915,636,59.0,0.001,nan,,0.0,2536.31644153,nan,nan,,,nan,nan,590153115
Avenida das FPLM,tertiary,nan,False,False,232.30400000000003,"[25, 17]",11,59.0,0.004,nan,,0.0,0.0,nan,nan,,,nan,nan,479363812
nan,tertiary,nan,True,False,154.0,"[26, 19, 7323, 5943]",6,59.0,0.004,nan,,0.0,2536.31644153,nan,nan,567929915.0,13037735223.0,567929915_13037735223,nan,44785083
nan,tertiary,nan,False,False,65.822,41,23,59.0,0.001,nan,,0.0,4422.84622001,nan,nan,,,nan,nan,473659365
nan,tertiary,nan,True,False,49.528000000000006,"[5944, 5945, 5946, 22]",9,59.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785094
nan,tertiary,nan,True,False,43.0,"[26, 19, 7323, 5943]",6,59.0,0.004,nan,,0.0,4422.84622001,nan,nan,13037735216.0,567929916.0,13037735216_567929916,nan,44785083
Avenida das FPLM,residential,nan,False,False,174.776,"[49, 5939]",31,60.0,0.003,nan,,0.0,0.0,nan,nan,,,nan,nan,479363810
nan,tertiary,nan,True,False,24.215000000000003,"[3796, 28, 3797, 60]",12,59.0,0.0,nan,,0.0,0.0,nan,nan,,,nan,roundabout,44785076
nan,tertiary,nan,True,False,8.217,"[3795, 37]",19,59.0,0.0,nan,,0.0,4422.84622001,nan,nan,,,nan,roundabout,44785076
nan,tertiary,nan,True,False,5.51,31,14,59.0,0.0,nan,,0.0,4422.84622001,nan,nan,,,nan,roundabout,44785076
nan,tertiary,nan,True,False,29.978,"[32, 33, 3791, 3792, 3793]",16,59.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,roundabout,44785076
nan,tertiary,nan,True,False,43.162,40,22,59.0,0.001,nan,,0.0,4422.84622001,nan,nan,,,nan,nan,44785082
nan,tertiary,nan,True,False,42.289,34,15,59.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785084
nan,tertiary,nan,True,False,6.059,3801,2369,59.0,0.0,nan,,0.0,0.0,nan,nan,,,nan,roundabout,44785076
nan,residential,nan,False,False,20.379,1726,1205,60.0,0.0,nan,,0.0,0.0,nan,nan,,,nan,nan,44785079
nan,residential,nan,True,False,31.494,36,18,60.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785080
nan,residential,nan,True,False,32.562,39,20,60.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785081
nan,tertiary,nan,True,False,19.933,"[3794, 38, 30]",21,59.0,0.0,nan,,0.0,4422.84622001,nan,nan,,,nan,roundabout,44785076
nan,residential,nan,False,True,68.064,1727,1206,60.0,0.001,nan,,0.0,0.0,nan,nan,,,nan,nan,44785079
