u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP100_me,RP100_fr,RP1000_me,RP1000_fr,dam_RP1000_HZ_segments,dam_RP1000_HZ,dam_RP100_HZ_segments,dam_RP100_HZ,risk_HZ_segments,risk_HZ,name,junction
42002848,3510081992,0,435722626,True,3,N2,trunk,80,False,226.857,"[1, 1607]",1,80.0,0.003,nan,1.0,1.0,1.0,1.0,"[nan, 17623.7]",17623.7,"[nan, 17623.7]",17623.7,"[0.0, 1850.49]",1850.49,nan,nan
42002848,42005643,0,72400805,True,2,N2,trunk,80,False,334.93,"[6, 1608, 1771, 1015, 1016]",4,80.0,0.004,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,nan,nan
42002848,2832217848,0,"[720205318, 284802951]",True,1,A79,motorway_link,80,False,557.7090000000001,"[1697, 1698, 5, 1772, 1709, 1710, 1900, 1621, 1368, 1370, 1695]",99,80.0,0.007,nan,2.8376068376068377,1.0,3.5080645161290325,1.0,"[5499.16, 7785.49, 4383.45, nan, nan, nan, nan, 4233.08, nan, 2619.32, 5112.73]",29633.23,"[5106.36, 7375.72, 3973.48, nan, nan, nan, nan, 3459.03, nan, 2077.4, 4397.92]",26389.91,"[538.33, 776.7, 419.47, 0.0, 0.0, 0.0, 0.0, 367.46, 0.0, 221.11, 465.71]",2788.78,nan,nan
42003549,1912827603,0,"[382923864, 215573156]",True,"['2', '3']",A79,motorway,100,False,429.50999999999993,"[1600, 1601, 2, 1732, 933, 1832, 1290, 1739, 1292, 1738, 1295, 1296, 1359, 1754, 1756]",2,100.0,0.004,nan,4.592039800995025,1.0,4.892018779342723,1.0,"[9321.3, 10614.15, nan, 7067.7, 7336.54, 6937.9, 11127.04, 13336.2, 28620.55, 6260.4, 9804.55, 15059.1, 11869.6, nan, nan]",137355.03,"[9321.3, 10614.15, nan, 14135.4, 7329.81, 6501.99, 26435.36, 12002.58, 28520.13, 5122.15, 9804.55, 14793.35, 15578.85, nan, nan]",160159.62,"[978.74, 1114.49, 0.0, 1445.34, 769.67, 685.11, 2691.52, 1267.61, 2995.17, 544.09, 1029.48, 1554.76, 1615.38, 0.0, 0.0]",16691.36,nan,nan
42003549,2119022099,0,"[337060729, 254696086, 7125689, 7125692, 1093098142]",True,2,A2,motorway,100,False,603.4239999999999,"[3, 4, 7, 9, 10, 12, 20, 1558, 1560, 1821, 1822, 934, 1322, 1581, 1352, 1747, 1751, 1758, 1761, 1514, 1007, 1008, 1272]",3,100.0,0.006,"['yes', 'viaduct']",4.51,1.0,4.539823008849558,1.0,"[nan, nan, 7063.7, 5924.36, nan, nan, nan, 3379.67, 5681.81, nan, nan, 4930.45, nan, 5417.65, nan, 7765.45, 4976.49, 6541.5, nan, 9314.55, nan, 7248.15, nan]",68243.78,"[nan, nan, 7063.7, nan, nan, nan, nan, 2706.83, 4800.15, nan, nan, 4930.45, nan, 5108.07, nan, nan, 4793.87, 6541.5, nan, 9314.55, nan, 7248.15, nan]",52507.27,"[0.0, 0.0, 741.69, 32.58, 0.0, 0.0, 0.0, 287.92, 508.86, 0.0, 0.0, 517.7, 0.0, 538.05, 0.0, 42.71, 504.36, 686.86, 0.0, 978.03, 0.0, 761.06, 0.0]",5599.82,nan,nan
42003549,5284280680,0,425176802,True,4,A2,motorway,100,False,446.129,"[1488, 1752, 1755, 1757, 1759]",111,100.0,0.004,nan,3.2711864406779663,1.0,4.246666666666667,1.0,"[32947.61, 44956.5, 31445.38, 39166.6, 65313.66]",213829.75,"[24020.82, 44553.66, 26646.94, 27416.62, 62714.97]",185353.01,"[2571.28, 4680.35, 2824.32, 2943.37, 6599.36]",19618.68,nan,nan
42005643,2178785463,0,294242089,True,1,N2,trunk_link,80,False,416.235,"[1288, 905, 8, 1880, 1781, 1879, 1304]",93,80.0,0.005,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,nan,nan
42005643,2587147871,0,"[337060740, 337060741, 462397446]",True,1,N2,trunk,"['100', '80']",False,463.95500000000004,"[1602, 1347, 1604, 1603, 1515, 1420, 1421, 1521, 1778, 1779, 1780, 1366, 1531]",97,90.0,0.005,viaduct,3.5390070921985815,1.0,4.6938775510204085,1.0,"[3931.52, nan, 4372.2, 7583.45, 6098.92, 6319.78, 6522.42, nan, nan, 3575.6, 4984.7, 4759.97, nan]",48148.56,"[2752.06, nan, nan, 6286.92, 5757.39, 5898.46, 5895.27, nan, nan, 3188.24, 4984.7, 3025.81, nan]",37788.85,"[295.45, 0.0, 24.05, 667.26, 606.4, 621.66, 622.45, 0.0, 0.0, 336.9, 523.39, 327.25, 0.0]",4024.81,nan,nan
42009257,42010565,0,"[6779692, 587459364, 6779686, 6779687]",True,"['2', '3']",nan,primary,50,False,90.18,"[1568, 1773, 14, 2128, 17, 24]",5,50.0,0.002,yes,3.5833333333333335,1.0,3.923076923076923,1.0,"[nan, 5455.45, nan, nan, nan, 4222.04]",9677.49,"[nan, 5101.2, nan, nan, nan, 4222.04]",9323.24,"[0.0, 537.57, 0.0, 0.0, 0.0, 443.31]",980.88,Nieuwe Limmelderweg,nan
42009257,42012660,0,"[6779728, 1094522126]",True,1,A79,motorway_link,100,False,389.17900000000003,"[1504, 34, 2663, 2414, 15, 1232, 2417, 2418, 19, 2419, 2415, 22, 2416, 25, 1563, 30]",6,100.0,0.004,nan,2.1538461538461537,1.0,3.95,1.0,"[7254.0, 5766.39, nan, 7461.83, nan, nan, 1811.63, 2147.63, nan, 1994.86, 2187.03, 1652.79, 2529.35, 1792.37, nan, 3621.32]",38219.2,"[4598.3, 3737.48, nan, 11192.74, nan, nan, 1811.63, 2147.63, nan, 2244.22, 2378.19, 1652.79, 2151.66, nan, nan, 4764.9]",36679.54,"[497.43, 403.59, 0.0, 1154.72, 0.0, 0.0, 190.22, 225.5, 0.0, 234.27, 248.66, 173.54, 228.0, 9.86, 0.0, 494.02]",3859.81,nan,nan
