o_node,d_node,origin,destination,opt_path,length,match_ids
13081248522,13081248617,O_0,D_0,"[13081248522, 13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617]",4866.936,"[295, 295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261]"
13081248522,13081248618,O_0,D_1,"[13081248522, 13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619, 6784166345, 7284605704, 7304932666, 7284605697, 13081248558, 13081248618]",7642.584999999999,"[295, 295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 64, 64, 366, 365, 365, 323, 328, 321, 360, 360]"
13081248522,13081248619,O_0,D_2,"[13081248522, 13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619]",6852.543,"[295, 295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 64, 64, 366, 365]"
13081248522,13081248620,O_0,D_3,"[13081248522, 13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 1977410498, 13081248620]",7917.141,"[295, 295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 75, 225]"
13081248522,13081248621,O_0,D_4,"[13081248522, 13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 5891888009, 5891887994, 13081248621]",8099.069999999999,"[295, 295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 234, 235, 222]"
13081248524,13081248617,O_2,D_0,"[13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617]",4132.936,"[364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261]"
13081248524,13081248618,O_2,D_1,"[13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619, 6784166345, 7284605704, 7304932666, 7284605697, 13081248558, 13081248618]",6908.584999999999,"[364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 64, 64, 366, 365, 365, 323, 328, 321, 360, 360]"
13081248524,13081248619,O_2,D_2,"[13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619]",6118.543,"[364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 64, 64, 366, 365]"
13081248524,13081248620,O_2,D_3,"[13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 1977410498, 13081248620]",7183.141,"[364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 75, 225]"
13081248524,13081248621,O_2,D_4,"[13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 5891888009, 5891887994, 13081248621]",7365.069999999999,"[364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 234, 235, 222]"
13081248525,13081248617,O_3,D_0,"[13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617]",4821.936,"[295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261]"
13081248525,13081248618,O_3,D_1,"[13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619, 6784166345, 7284605704, 7304932666, 7284605697, 13081248558, 13081248618]",7597.584999999999,"[295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 64, 64, 366, 365, 365, 323, 328, 321, 360, 360]"
13081248525,13081248619,O_3,D_2,"[13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619]",6807.543,"[295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 64, 64, 366, 365]"
13081248525,13081248620,O_3,D_3,"[13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 1977410498, 13081248620]",7872.141,"[295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 75, 225]"
13081248525,13081248621,O_3,D_4,"[13081248525, 10736480779, 13081248524, 7238291279, 7238291270, 13081248531, 7238291217, 13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 5891888009, 5891887994, 13081248621]",8054.069999999999,"[295, 364, 364, 303, 301, 301, 299, 299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 234, 235, 222]"
13081248530,13081248617,O_8,D_0,"[13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617]",2910.0,"[299, 337, 337, 305, 305, 305, 261, 261]"
13081248530,13081248618,O_8,D_1,"[13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619, 6784166345, 7284605704, 7304932666, 7284605697, 13081248558, 13081248618]",5685.648999999999,"[299, 337, 337, 305, 305, 305, 64, 64, 366, 365, 365, 323, 328, 321, 360, 360]"
13081248530,13081248619,O_8,D_2,"[13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248557, 1971167548, 12310842190, 13081248619]",4895.607,"[299, 337, 337, 305, 305, 305, 64, 64, 366, 365]"
13081248530,13081248620,O_8,D_3,"[13081248530, 7698533592, 13081248537, 7238291342, 13081248547, 13081248546, 1849171627, 13081248556, 13081248617, 6130026099, 3494600493, 5715381571, 5504218401, 5504218399, 5504218397, 6784189922, 1848280242, 1848280088, 1848302348, 1971822806, 1848302290, 1957952262, 5891888010, 1977410498, 13081248620]",5960.205000000001,"[299, 337, 337, 305, 305, 305, 261, 261, 261, 259, 218, 199, 197, 195, 272, 271, 21, 19, 70, 23, 63, 236, 75, 225]"
