u,v,traffic,traffic_egalitarian,traffic_prioritarian
13081248522,13081248525,8.144307136535645,5.0,6.446748885747194
13081248525,10736480779,3585.8672075271606,10.0,2838.447155419597
10736480779,13081248524,3585.8672075271606,10.0,2838.447155419597
13081248524,7238291279,4814.463765144348,15.0,3810.9612509796743
7238291279,7238291270,4814.463765144348,15.0,3810.9612509796743
7238291270,13081248531,4814.463765144348,15.0,3810.9612509796743
13081248531,7238291217,11216.7015581131,20.0,8878.748929682872
7238291217,13081248530,11216.7015581131,20.0,8878.748929682872
13081248530,7698533592,14169.159321784975,25.0,11215.811307006687
7698533592,13081248537,14169.159321784975,25.0,11215.811307006687
13081248537,7238291342,22425.46010303497,30.0,21725.70712604974
7238291342,13081248547,38940.29750537872,46.0,29021.27291154752
13081248547,13081248546,47743.79848194122,51.0,32910.292158451564
13081248546,1849171627,57478.43715381622,56.0,45302.04495284822
1849171627,13081248556,53776.20326671602,49.0,34828.85198576825
13081248556,13081248617,59687.340571403525,52.0,42353.46123757883
1849171627,13081248557,26811.809285354615,24.0,23084.070125995164
13081248557,1971167548,33938.32334785462,28.0,26105.648263435218
1971167548,12310842190,70949.7975666046,54.0,77110.74364482086
12310842190,13081248619,70949.7975666046,54.0,77110.74364482086
13081248619,6784166345,35474.898783302306,27.0,38555.37182241043
6784166345,7284605704,35474.898783302306,27.0,38555.37182241043
7284605704,7304932666,35474.898783302306,27.0,38555.37182241043
7304932666,7284605697,35474.898783302306,27.0,38555.37182241043
7284605697,13081248558,41703.6239862442,34.0,40528.585760765716
13081248558,13081248618,43595.2667596817,35.0,41330.62535515054
13081248617,6130026099,26811.809285354615,24.0,23084.070125995164
6130026099,3494600493,26811.809285354615,24.0,23084.070125995164
3494600493,5715381571,39039.172566604604,32.0,43759.4613185744
5715381571,5504218401,39039.172566604604,32.0,43759.4613185744
5504218401,5504218399,39039.172566604604,32.0,43759.4613185744
5504218399,5504218397,36838.60303535461,30.0,43225.791251815885
5504218397,6784189922,36838.60303535461,30.0,43225.791251815885
6784189922,1848280242,36838.60303535461,30.0,43225.791251815885
1848280242,1848280088,36838.60303535461,30.0,43225.791251815885
1848280088,1848302348,36838.60303535461,30.0,43225.791251815885
1848302348,1971822806,45780.08867988586,36.0,60567.16369369779
1971822806,1848302290,39819.09825019836,32.0,49006.248732443186
1848302290,1957952262,85229.89470100406,68.0,67087.72330203652
1957952262,5891888010,85229.89470100406,68.0,67087.72330203652
5891888010,1977410498,44105.19495792388,35.0,36434.09039133191
1977410498,13081248620,44105.19495792388,35.0,36434.09039133191
5891888010,5891888009,41124.69974308013,33.0,30653.63291070461
5891888009,5891887994,44105.19495792388,35.0,36434.09039133191
5891887994,13081248621,44105.19495792388,35.0,36434.09039133191
13081248532,7238291754,1787.79736328125,6.0,789.7742470723208
7238291754,7281933558,1787.79736328125,6.0,789.7742470723208
7281933558,7238291216,1787.79736328125,6.0,789.7742470723208
7238291216,13081248539,1787.79736328125,6.0,789.7742470723208
13081248539,13081248538,7362.47509765625,11.0,3252.4341663465293
13081248538,7698533591,16514.83740234375,16.0,7295.565785497785
7698533591,1980828432,16514.83740234375,16.0,7295.565785497785
1980828432,7238291342,16514.83740234375,16.0,7295.565785497785
13081248533,7238291752,300.8094482421875,1.0,132.88505754460044
7238291752,13081248520,300.8094482421875,1.0,132.88505754460044
13081248520,2874195084,300.8094482421875,1.0,132.88505754460044
2874195084,2004033144,300.8094482421875,1.0,132.88505754460044
2004033144,13081248532,300.8094482421875,1.0,132.88505754460044
13081248533,2872626340,1203.23779296875,4.0,531.5402301784018
2872626340,7231806880,1203.23779296875,4.0,531.5402301784018
7231806880,13081248541,1203.23779296875,4.0,531.5402301784018
13081248541,13081248550,8203.796875,9.0,3499.714583952513
13081248550,13081248540,17103.333984374996,14.0,8270.438519023828
13081248540,13081248549,21025.169433593746,19.0,10002.941711311516
13081248549,10563701729,30303.93310546875,24.0,13937.054407579073
10563701729,1957952104,30303.93310546875,24.0,13937.054407579073
1957952104,1957952128,30303.93310546875,24.0,13937.054407579073
1957952128,10563701727,30303.93310546875,24.0,13937.054407579073
10563701727,13081248548,30303.93310546875,24.0,13937.054407579073
13081248548,13081248559,38549.34033203126,29.0,17433.033225774456
13081248559,13081248618,47537.341308593765,34.0,20850.6548498852
13081248618,13081248558,37969.711157226564,27.0,16653.946868399238
13081248558,7284605697,45536.282250976576,31.0,19862.105245938525
7284605697,7304932666,45536.282250976576,31.0,19862.105245938525
7304932666,7284605704,45536.282250976576,31.0,19862.105245938525
7284605704,6784166345,45536.282250976576,31.0,19862.105245938525
6784166345,13081248619,70451.1830627442,59.0,27754.960999359642
13081248619,12310842190,52763.184934997575,44.0,20782.999485133583
12310842190,1971167548,52763.184934997575,44.0,20782.999485133583
1971167548,1971779496,38939.253286743166,32.0,15454.712097172149
1971779496,1977416892,44631.08473205566,35.0,17867.997653942224
1977416892,1847768354,44631.08473205566,35.0,17867.997653942224
1847768354,1847768304,42733.80758361816,34.0,17063.569135018864
1847768304,7304846122,42733.80758361816,34.0,17063.569135018864
7304846122,5675748457,42733.80758361816,34.0,17063.569135018864
5675748457,1847768303,45410.796450805654,36.0,18081.474569593345
1847768303,1848302290,45410.796450805654,36.0,18081.474569593345
1971167548,13081248557,17387.188679504394,14.0,6839.076456681463
13081248557,1849171627,19168.81719512939,15.0,7594.470991041477
13081248551,13081248561,3724.059852600099,15.0,1988.017843923023
13081248561,13081248560,7078.925331115723,20.0,2502.4562075216418
13081248560,13081248569,14713.311073303217,25.0,5405.375540456737
13081248569,7608574568,22588.143592834465,30.0,6612.910084212361
7608574568,7284218991,22588.143592834465,30.0,6612.910084212361
7284218991,7284218990,18070.514874267574,24.0,5290.328067369888
7284218990,1849146891,18070.514874267574,24.0,5290.328067369888
