link_type_hazard_intensity;duration_steps;functionality_loss_ratio
secondary_0.0-0.2;[1.0];[0.05]
secondary_0.2-0.5;[1, 2.5];[0.125, 0.05]
secondary_0.5-1.5;[2.5, 5, 7.5];[0.375, 0.25, 0.125]
secondary_1.5-9999.0;[7.5, 9, 10];[0.5, 0.45, 0.375]
secondary_link_0.0-0.2;[1.0];[0.05]
secondary_link_0.2-0.5;[1, 2.5];[0.125, 0.05]
secondary_link_0.5-1.5;[2.5, 5, 7.5];[0.375, 0.25, 0.125]
secondary_link_1.5-9999.0;[7.5, 9, 10];[0.5, 0.45, 0.375]
tertiary_0.0-0.2;[2.0];[0.1]
tertiary_0.2-0.5;[2, 5];[0.25, 0.1]
tertiary_0.5-1.5;[5, 10, 15];[0.75, 0.5, 0.25]
tertiary_1.5-9999.0;[15, 18, 20];[1, 0.9, 0.75]
tertiary_link_0.0-0.2;[2.0];[0.1]
tertiary_link_0.2-0.5;[2, 5];[0.25, 0.1]
tertiary_link_0.5-1.5;[5, 10, 15];[0.75, 0.5, 0.25]
tertiary_link_1.5-9999.0;[15, 18, 20];[1, 0.9, 0.75]
trunk_0.0-0.2;[3.0];[0.2]
trunk_0.2-0.5;[3, 7.5];[0.5, 0.2]
trunk_0.5-1.5;[7.5, 15, 22.5];[0.7, 0.6, 0.5]
trunk_1.5-9999.0;[22.5, 27, 30];[1, 0.95, 0.7]
trunk_link_0.0-0.2;[3.0];[0.2]
trunk_link_0.2-0.5;[3, 7.5];[0.5, 0.2]
trunk_link_0.5-1.5;[7.5, 15, 22.5];[0.7, 0.6, 0.5]
trunk_link_1.5-9999.0;[22.5, 27, 30];[1, 0.95, 0.7]
