ID,evening_total,evening_freight,evening_commute,evening_business,evening_other,day_freight,day_commute,day_business,day_other,day_total
0,0,0,0,0,0,15,31,66,44,156
1,0,0,0,0,0,90,22,95,98,305
2,0,0,0,0,0,28,29,18,13,88
3,0,0,0,0,0,41,92,64,52,249
4,0,0,0,0,0,93,31,17,14,155
5,0,0,0,0,0,47,53,39,49,188
6,0,0,0,0,0,33,97,31,48,209
7,0,0,0,0,0,40,98,82,41,261
8,0,0,0,0,0,37,70,70,47,224
9,0,0,0,0,0,18,24,93,54,189
10,0,0,0,0,0,35,58,89,40,222
11,0,0,0,0,0,58,67,80,31,236
12,0,0,0,0,0,57,76,73,85,291
13,0,0,0,0,0,30,94,98,51,273
14,0,0,0,0,0,24,14,53,16,107
15,0,0,0,0,0,74,66,21,24,185
16,0,0,0,0,0,30,97,57,30,214
17,0,0,0,0,0,69,30,99,19,217
18,0,0,0,0,0,88,94,58,65,305
19,0,0,0,0,0,22,71,85,80,258
20,0,0,0,0,0,78,19,51,71,219
21,0,0,0,0,0,88,83,76,100,347
22,0,0,0,0,0,43,90,26,43,202
23,0,0,0,0,0,34,89,15,52,190
24,0,0,0,0,0,73,67,30,39,209
25,0,0,0,0,0,32,22,29,67,150
26,0,0,0,0,0,19,42,35,90,186
27,0,0,0,0,0,82,17,76,93,268
28,0,0,0,0,0,28,63,42,100,233
29,0,0,0,0,0,76,27,57,88,248
30,0,0,0,0,0,12,90,55,86,243
31,0,0,0,0,0,17,15,63,45,140
32,0,0,0,0,0,60,76,43,21,200
33,0,0,0,0,0,77,26,34,26,163
34,0,0,0,0,0,34,35,85,94,248
35,0,0,0,0,0,72,22,34,49,177
36,0,0,0,0,0,84,11,57,15,167
37,0,0,0,0,0,59,53,19,34,165
38,0,0,0,0,0,48,11,80,24,163
39,0,0,0,0,0,38,77,47,40,202
40,0,0,0,0,0,56,10,50,81,197
41,0,0,0,0,0,36,64,44,89,233
42,0,0,0,0,0,89,49,75,35,248
43,0,0,0,0,0,73,12,39,75,199
44,0,0,0,0,0,64,62,49,27,202
45,0,0,0,0,0,38,29,10,38,115
46,0,0,0,0,0,46,71,54,31,202
47,0,0,0,0,0,54,35,56,11,156
48,0,0,0,0,0,34,81,94,31,240
49,0,0,0,0,0,31,89,30,51,201
50,0,0,0,0,0,64,28,63,11,166
51,0,0,0,0,0,85,86,45,24,240
52,0,0,0,0,0,14,49,84,40,187
53,0,0,0,0,0,42,39,45,38,164
54,0,0,0,0,0,48,68,83,22,221
55,0,0,0,0,0,77,77,82,73,309
56,0,0,0,0,0,10,26,12,67,115
57,0,0,0,0,0,37,73,54,80,244
58,0,0,0,0,0,27,86,88,60,261
59,0,0,0,0,0,36,51,38,69,194
60,0,0,0,0,0,67,74,93,67,301
61,0,0,0,0,0,53,96,45,26,220
62,0,0,0,0,0,64,96,17,21,198
63,0,0,0,0,0,31,22,84,94,231
64,0,0,0,0,0,22,72,28,80,202
65,0,0,0,0,0,72,51,86,89,298
66,0,0,0,0,0,91,22,94,53,260
67,0,0,0,0,0,95,23,92,99,309
68,0,0,0,0,0,10,100,40,19,169
69,0,0,0,0,0,82,56,49,99,286
70,0,0,0,0,0,85,59,46,45,235
71,0,0,0,0,0,22,63,12,90,187
72,0,0,0,0,0,36,65,30,41,172
73,0,0,0,0,0,38,33,93,64,228
