o_node,d_node,origin,destination,opt_path,length,match_ids
13037735164,5632424987,O_0,D_0,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 1934244651, 1934244688, 2569022472, 1934244721, 1934244724, 1934244736, 11054353601, 4722963440, 4092461288, 4092461282, 4722963441, 10901355551, 1934244732, 4722963451, 1934244728, 4722963448, 4722963452, 776741692, 5632800156, 5632800157, 5632850472, 5632800161, 5632800160, 1934753518, 4723043854, 3250279364, 3250279362, 3250274460, 2593843727, 4723053011, 1935839917, 4723053009, 776521967, 1935839852, 8253130813, 8253130811, 8253130793, 5632424987]",5250.612000000001,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 901, 751, 764, 1728, 1727, 785, 800, 4027, 4026, 2455, 2349, 2347, 3987, 3985, 2463, 2462, 793, 2461, 2466, 3027, 3029, 3054, 3034, 3032, 975, 2496, 2025, 2022, 2020, 1745, 2498, 1328, 2497, 480, 1268, 3940, 3939, 3932, 2985]"
13037735164,13037735220,O_0,D_1,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 1934244651, 1934244688, 2569022472, 1934244721, 1934244724, 1934244736, 11054353601, 4722963440, 4092461288, 4092461282, 4722963441, 10901355551, 1934244732, 4722963451, 1934244728, 4722963448, 4722963452, 776741692, 5632800156, 5632800157, 5632850472, 5632800161, 5632800160, 1934753518, 4723043854, 3250279364, 3250279362, 3250274460, 2593843727, 4723053011, 1935839917, 4723053009, 776521967, 1935839852, 8253130813, 8253130811, 8253130793, 5632424987, 13037735220]",5277.612000000001,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 901, 751, 764, 1728, 1727, 785, 800, 4027, 4026, 2455, 2349, 2347, 3987, 3985, 2463, 2462, 793, 2461, 2466, 3027, 3029, 3054, 3034, 3032, 975, 2496, 2025, 2022, 2020, 1745, 2498, 1328, 2497, 480, 1268, 3940, 3939, 3932, 2985, 2984]"
13037735164,1934244652,O_0,D_2,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 1934261211, 1934244652]",2543.9670000000006,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 907, 910]"
13037735164,13037735221,O_0,D_3,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 1934771022, 13037735221]",5088.192000000001,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 901, 2426, 2427, 348, 342, 766, 773, 774, 195, 802, 813, 826, 841, 839, 131, 867, 3021, 650, 3066, 2471, 886, 1060, 1070, 1073, 1072, 2533, 2537, 3080, 1675, 1676, 1189, 1190, 3776]"
13037735164,13037735222,O_0,D_4,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 4816491860, 4816491859, 4816491861, 1833313089, 4816491856, 4816491858, 1833313101, 4723303157, 11590763568, 13037735222]",5987.527,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 901, 2426, 2427, 348, 342, 766, 773, 774, 195, 802, 813, 826, 841, 839, 131, 867, 3021, 650, 3066, 2471, 886, 1060, 1070, 1073, 1072, 2533, 2537, 3080, 1675, 1676, 2817, 2816, 2821, 2820, 2805, 2811, 2810, 2728, 4111, 4112]"
13037735164,13037735223,O_0,D_5,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 4816491860, 1833313096, 4816491857, 1833313103, 1833313105, 567929915, 13037735223]",5719.143000000001,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 901, 2426, 2427, 348, 342, 766, 773, 774, 195, 802, 813, 826, 841, 839, 131, 867, 3021, 650, 3066, 2471, 886, 1060, 1070, 1073, 1072, 2533, 2537, 3080, 1675, 1676, 2817, 2818, 2809, 2808, 635, 636, 6]"
13037735164,13037735223,O_0,D_6,"[13037735164, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 1934772683, 13037735176, 5622112474, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 11383365463, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 4816491860, 1833313096, 4816491857, 1833313103, 1833313105, 567929915, 13037735223]",5719.143000000001,"[639, 637, 3971, 1211, 2892, 2888, 1213, 2895, 2895, 2396, 1216, 2421, 2420, 2325, 4101, 4100, 2905, 2906, 207, 970, 205, 972, 2316, 2317, 2320, 119, 120, 237, 310, 309, 902, 901, 2426, 2427, 348, 342, 766, 773, 774, 195, 802, 813, 826, 841, 839, 131, 867, 3021, 650, 3066, 2471, 886, 1060, 1070, 1073, 1072, 2533, 2537, 3080, 1675, 1676, 2817, 2818, 2809, 2808, 635, 636, 6]"
6355202157,5632424987,O_5,D_0,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 5632424987]",1301.727,"[2054, 563, 1256, 1255, 2983]"
6355202157,13037735220,O_5,D_1,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 5632424987, 13037735220]",1328.727,"[2054, 563, 1256, 1255, 2983, 2984]"
6355202157,1934244652,O_5,D_2,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 8253130794, 8253130802, 8253130795, 776522008, 2593845094, 2593845096, 2593845424, 11061441982, 11061441973, 11061441970, 5632534919, 4723043850, 3250279363, 3250279365, 2568927648, 2568934962, 5632800159, 5632800162, 5632800155, 4722963452, 4722963448, 1934244728, 4722963451, 1934244732, 10901355551, 4722963441, 4092461282, 4092461288, 4722963440, 11054353601, 1934244736, 1934244724, 1934244721, 2569022472, 1934244688, 1934244651, 4715753072, 762948426, 762948429, 1934244654, 1934244652]",4168.273000000002,"[2054, 563, 1256, 1255, 3933, 3937, 3935, 488, 1751, 1757, 1761, 4079, 4073, 4071, 2989, 2492, 2024, 2027, 1679, 1686, 3031, 3035, 3026, 2465, 2461, 793, 2462, 2463, 3985, 3987, 2347, 2349, 2455, 4026, 4027, 800, 785, 1727, 1728, 764, 2424, 343, 348, 757, 755]"
