link_id,,highway,avgspeed,lanes,length,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,alt_length,alt_nodes,diff_length,detour
None,None,tertiary,60.0,nan,70.0,60,nan,0,1,0_1,1,4,0.001,352.0,"[0, 3, 14, 19, 20, 663, 1]",282.0,1
None,None,tertiary,58.0,nan,70.0,nan,nan,0,2,0_2,2,7,0.001,95.0,"[0, 3, 2]",25.0,1
None,None,tertiary,58.0,nan,71.0,nan,nan,0,3,0_3,3,10,0.001,94.0,"[0, 2, 3]",23.0,1
None,None,tertiary,60.0,nan,47.0,60,nan,1,465,1_465,4,1470,0.001,441.0,"[1, 663, 661, 447, 465]",394.0,1
None,None,residential,60.0,nan,69.0,nan,nan,1,663,1_663,5,2066,0.001,353.0,"[1, 0, 3, 14, 19, 20, 663]",284.0,1
None,None,tertiary,58.0,nan,24.0,nan,nan,2,3,2_3,6,11,0.0,99.0,"[2, 25, 18, 17, 15, 16, 14, 3]",75.0,1
None,None,tertiary,58.0,nan,6.0,nan,nan,2,25,2_25,7,78,0.0,117.0,"[2, 3, 14, 16, 15, 17, 18, 25]",111.0,1
None,None,tertiary,58.0,nan,8.0,nan,nan,3,14,3_14,8,44,0.0,115.0,"[3, 2, 25, 18, 17, 15, 16, 14]",107.0,1
None,None,tertiary,58.0,nan,49.0,nan,nan,4,5,4_5,9,16,0.001,63.0,"[4, 7, 5]",14.0,1
None,None,tertiary,58.0,nan,50.0,nan,nan,4,7,4_7,10,22,0.001,62.0,"[4, 5, 7]",12.0,1
None,None,tertiary,60.0,2,37.0,60,nan,4,6,4_6,11,19,0.001,320.0,"[4, 7, 547, 616, 619, 6]",283.0,1
None,None,tertiary,58.0,nan,68.0,nan,nan,5,71,5_71,12,221,0.001,110.0,"[5, 7, 551, 73, 71]",42.0,1
None,None,residential,60.0,nan,13.0,nan,nan,5,7,5_7,13,23,0.0,99.0,"[5, 4, 7]",86.0,1
None,None,residential,60.0,nan,63.0,nan,nan,6,619,6_619,14,1935,0.001,294.0,"[6, 4, 7, 547, 616, 619]",231.0,1
None,None,tertiary,60.0,2,114.0,60,nan,6,623,6_623,15,1949,0.002,279.0,"[6, 619, 617, 622, 623]",165.0,1
None,None,residential,60.0,nan,59.0,nan,nan,7,547,7_547,16,1728,0.001,96.0,"[7, 551, 547]",37.0,1
None,None,tertiary,58.0,nan,48.0,nan,nan,7,551,7_551,17,1744,0.001,107.0,"[7, 547, 551]",59.0,1
None,None,tertiary,58.0,nan,39.0,nan,nan,8,9,8_9,18,29,0.001,1099.0,"[8, 10, 12, 15, 16, 19, 20, 21, 22, 442, 441, 452, 9]",1060.0,1
None,None,tertiary,58.0,nan,264.0,nan,nan,8,10,8_10,19,32,0.005,282.0,"[8, 11, 10]",18.0,1
None,None,tertiary,58.0,nan,233.0,nan,nan,8,11,8_11,20,35,0.004,313.0,"[8, 10, 11]",80.0,1
None,None,residential,60.0,2,66.0,nan,nan,9,452,9_452,21,1429,0.001,440.0,"[9, 467, 466, 452]",374.0,1
None,None,tertiary,58.0,nan,187.0,nan,nan,9,467,9_467,22,1477,0.003,319.0,"[9, 452, 466, 467]",132.0,1
None,None,tertiary,58.0,nan,66.0,nan,nan,10,12,10_12,23,38,0.001,348.0,"[10, 11, 13, 24, 18, 17, 12]",282.0,1
None,None,tertiary,58.0,nan,49.0,nan,nan,10,11,10_11,24,36,0.001,365.0,"[10, 12, 17, 18, 24, 13, 11]",316.0,1
None,None,residential,60.0,nan,175.0,nan,nan,11,13,11_13,25,41,0.003,239.0,"[11, 10, 12, 17, 18, 24, 13]",64.0,1
None,None,tertiary,58.0,nan,43.0,nan,nan,12,15,12_15,26,47,0.001,72.0,"[12, 17, 15]",29.0,1
None,None,tertiary,58.0,nan,42.0,nan,nan,12,17,12_17,27,53,0.001,73.0,"[12, 15, 17]",31.0,1
None,None,residential,60.0,nan,36.0,nan,nan,13,26,13_26,28,81,0.001,780.0,"[13, 24, 25, 2, 0, 1, 465, 29, 27, 26]",744.0,1
None,None,residential,60.0,nan,30.0,nan,nan,13,24,13_24,29,75,0.001,384.0,"[13, 11, 10, 12, 17, 18, 24]",354.0,1
None,None,tertiary,58.0,nan,20.0,nan,nan,14,16,14_16,30,50,0.0,63.0,"[14, 19, 16]",43.0,1
None,None,residential,60.0,nan,31.0,nan,nan,14,19,14_19,31,59,0.001,52.0,"[14, 16, 19]",21.0,1
None,None,tertiary,58.0,nan,5.0,nan,nan,15,16,15_16,32,51,0.0,118.0,"[15, 17, 18, 25, 2, 3, 14, 16]",113.0,1
None,None,tertiary,58.0,nan,30.0,nan,nan,15,17,15_17,33,54,0.001,85.0,"[15, 12, 17]",55.0,1
None,None,residential,60.0,nan,32.0,nan,nan,16,19,16_19,34,60,0.001,51.0,"[16, 14, 19]",19.0,1
None,None,tertiary,58.0,nan,6.0,nan,nan,17,18,17_18,35,56,0.0,117.0,"[17, 15, 16, 14, 3, 2, 25, 18]",111.0,1
None,None,residential,60.0,nan,46.0,nan,nan,18,24,18_24,36,76,0.001,73.0,"[18, 25, 24]",27.0,1
None,None,tertiary,58.0,nan,24.0,nan,nan,18,25,18_25,37,79,0.0,95.0,"[18, 24, 25]",71.0,1
None,None,residential,60.0,nan,20.0,nan,nan,19,20,19_20,38,62,0.0,402.0,"[19, 14, 3, 0, 1, 663, 20]",382.0,1
None,None,residential,60.0,nan,68.0,nan,nan,20,21,20_21,39,65,0.001,376.0,"[20, 663, 23, 21]",308.0,1
None,None,residential,60.0,nan,153.0,nan,nan,20,663,20_663,40,2067,0.003,269.0,"[20, 19, 14, 3, 0, 1, 663]",116.0,1
None,None,residential,60.0,nan,111.0,nan,nan,21,22,21_22,41,68,0.002,796.0,"[21, 23, 657, 652, 656, 22]",685.0,1
None,None,residential,60.0,nan,156.0,nan,nan,21,23,21_23,42,72,0.003,288.0,"[21, 20, 663, 23]",132.0,1
None,None,residential,60.0,nan,164.0,nan,nan,22,442,22_442,43,1399,0.003,974.0,"[22, 21, 20, 19, 16, 15, 12, 10, 8, 9, 452, 441, 442]",810.0,1
None,None,residential,60.0,nan,202.0,nan,nan,22,656,22_656,44,2046,0.003,705.0,"[22, 21, 23, 657, 652, 656]",503.0,1
None,None,residential,60.0,nan,120.0,nan,nan,22,660,22_660,45,2057,0.002,793.0,"[22, 656, 652, 226, 660]",673.0,1
None,None,residential,60.0,nan,67.0,nan,nan,23,663,23_663,46,2068,0.001,377.0,"[23, 21, 20, 663]",310.0,1
None,None,residential,60.0,nan,179.0,nan,nan,23,657,23_657,47,2049,0.003,308.0,"[23, 663, 661, 657]",129.0,1
None,None,residential,60.0,nan,49.0,nan,nan,24,25,24_25,48,80,0.001,70.0,"[24, 18, 25]",21.0,1
