osmid,lanes,name,infra_type,oneway,reversed,length,rfid_c,rfid,avgspeed,time,ref,maxspeed,access,F_EV1_mi,F_EV1_ma,F_EV1_me,F_EV1_fr,road_type,lanes_copy,dam_EV1_al
10869828,2.0,South 15th Street,residential,False,False,7.472,1,1,47.0,0.0,None,None,None,,,,0.0,other,2.0,
202526448,4.0,Beach Boulevard,trunk,True,False,25.907,2,2,56.0,0.0,US 90,35 mph,None,,,,0.0,trunk,4.0,
10883898,2.0,Penman Road South,unclassified,False,False,13.575,3,3,50.0,0.0,None,None,None,,,,0.0,other,2.0,
1390302875,3.0,Beach Boulevard,primary,True,False,21.407,4,4,56.0,0.0,US 90,35 mph,None,,,,0.0,primary,3.0,
10879764,2.0,South 12th Street,residential,False,False,12.902,5,5,47.0,0.0,None,None,None,0.9700000286102295,1.0299999713897705,1.0,1.0,other,2.0,2044.0
10879764,2.0,South 12th Street,residential,False,True,12.792,6,6,47.0,0.0,None,None,None,0.9599999785423279,1.0299999713897705,0.9900000095367432,1.0,other,2.0,2009.0
128600936,5.0,Beach Boulevard,trunk,False,False,23.506,7,7,56.0,0.0,US 90,35 mph,None,0.8899999856948853,1.0299999713897705,0.9600000381469727,1.0,trunk,5.0,79740.0
128600936,5.0,Beach Boulevard,trunk,False,True,13.462,8,8,56.0,0.0,US 90,35 mph,None,0.9700000286102295,1.0299999713897705,1.006666660308838,1.0,trunk,5.0,47520.0
10886116,2.0,11th Street North,residential,False,False,12.704,9,9,47.0,0.0,None,None,None,0.8100000023841858,0.8199999928474426,0.8133333524068197,1.0,other,2.0,1701.0
1390906279,5.0,Beach Boulevard,trunk,False,False,19.204,10,10,56.0,0.0,US 90,35 mph,None,0.7200000286102295,0.8100000023841858,0.7699999809265137,1.0,trunk,5.0,54542.0
1390906280,5.0,Beach Boulevard,trunk,False,True,6.001,11,11,56.0,0.0,US 90,35 mph,None,0.7799999713897705,0.8100000023841858,0.7949999570846558,1.0,trunk,5.0,17480.0
10878786,2.0,10th Street South,residential,False,False,13.071,12,12,47.0,0.0,None,None,None,0.44999998807907104,0.6100000143051147,0.5649999976158142,1.0,other,2.0,1324.0
10886114,2.0,North 10th Street,residential,False,False,13.071,13,13,56.0,0.0,None,35 mph,None,0.6100000143051147,0.6299999952316284,0.6200000047683716,1.0,other,2.0,1419.0
1390881896,5.0,Beach Boulevard,trunk,False,False,28.019,14,14,56.0,0.001,US 90,35 mph,None,0.6100000143051147,0.6399999856948853,0.6220000267028809,1.0,trunk,5.0,67528.0
1390881898,5.0,Beach Boulevard,primary,False,True,22.593,15,15,56.0,0.0,US 90,35 mph,None,0.6100000143051147,0.6200000047683716,0.6133333444595337,1.0,primary,5.0,30407.0
10874111,2.0,North 9th Street,residential,False,False,12.486,16,16,47.0,0.0,None,None,None,0.7900000214576721,0.8199999928474426,0.8066666920979818,1.0,other,2.0,1661.0
1390642028,5.0,Beach Boulevard,primary,False,True,11.59,17,17,56.0,0.0,US 90,35 mph,None,0.7699999809265137,0.8199999928474426,0.7933332920074463,1.0,primary,5.0,19020.0
1390642029,5.0,Beach Boulevard,primary,False,False,8.93,18,18,56.0,0.0,US 90,35 mph,None,0.8199999928474426,0.8399999737739563,0.8299999833106995,1.0,primary,5.0,15192.0
10880336,2.0,North 8th Street,residential,False,False,12.428,19,19,47.0,0.0,None,None,None,1.0800000429153442,1.100000023841858,1.090000033378601,1.0,other,2.0,2131.0
10894908,2.0,South 8th Street,residential,False,False,12.778,20,20,47.0,0.0,None,None,None,1.100000023841858,1.1699999570846558,1.1349999904632568,1.0,other,2.0,2274.0
1392882154,5.0,Beach Boulevard,trunk,False,False,25.667,21,21,56.0,0.0,US 90,35 mph,None,1.100000023841858,1.100000023841858,1.100000023841858,1.0,trunk,5.0,98286.0
1392882155,5.0,Beach Boulevard,trunk,False,True,22.047,22,22,56.0,0.0,US 90,35 mph,None,1.0399999618530273,1.100000023841858,1.0633333524068196,1.0,trunk,5.0,81832.0
10884265,2.0,7th Street North,residential,False,False,12.23,23,23,47.0,0.0,None,None,None,1.2300000190734863,1.25,1.2400000095367432,1.0,other,2.0,2362.0
10884324,2.0,7th Street South,residential,False,False,12.973,24,24,47.0,0.0,None,None,None,1.159999966621399,1.2999999523162842,1.2366665999094646,1.0,other,2.0,2499.0
1392678580,5.0,Beach Boulevard,trunk,False,True,9.66,25,25,56.0,0.0,US 90,35 mph,None,1.2300000190734863,1.25,1.2400000095367432,1.0,trunk,5.0,41329.0
1392678581,5.0,Beach Boulevard,primary,False,False,17.092,26,26,56.0,0.0,US 90,35 mph,None,1.25,1.2799999713897705,1.2633333206176758,1.0,primary,5.0,41989.0
10879843,2.0,South 6th Street,residential,False,False,13.118,27,27,47.0,0.0,None,None,None,1.5099999904632568,1.5299999713897705,1.5199999809265137,1.0,other,2.0,3049.0
10883745,2.0,North 6th Street,residential,False,False,12.135,28,28,47.0,0.0,None,None,None,1.4500000476837158,1.5099999904632568,1.4800000190734863,1.0,other,2.0,2766.0
1393835397,5.0,Beach Boulevard,trunk,False,False,27.923,29,29,56.0,0.0,US 90,35 mph,None,1.5,1.5099999904632568,1.5074999332427979,1.0,trunk,5.0,143131.0
1393835398,5.0,Beach Boulevard,trunk,False,True,18.945,30,30,56.0,0.0,US 90,35 mph,None,1.440000057220459,1.5099999904632568,1.4733333587646484,1.0,trunk,5.0,95231.0
10876469,2.0,South 5th Street,residential,False,False,12.607,31,31,47.0,0.0,None,None,None,1.5099999904632568,1.7599999904632568,1.6349999904632568,1.0,other,2.0,3050.0
435255811,5.0,Beach Boulevard,trunk,False,True,50.669,32,32,56.0,0.001,US 90,35 mph,None,1.590000033378601,1.7599999904632568,1.6742857524326868,1.0,trunk,5.0,275149.0
1393835399,4.0,Beach Boulevard,trunk,False,False,60.572,33,33,56.0,0.001,US 90,35 mph,None,1.7599999904632568,1.840000033378601,1.7962499856948853,1.0,trunk,4.0,342409.0
683228798,2.0,Beach Boulevard,primary,True,False,17.39,34,34,56.0,0.0,US 90,35 mph,None,1.6799999475479126,1.7699999809265137,1.7399999300638835,1.0,primary,2.0,21788.0
1389279523,2.0,3rd Street South,primary,True,False,12.646,35,35,56.0,0.0,FL A1A,35 mph,None,1.7699999809265137,1.809999942779541,1.7899999618530273,1.0,primary,2.0,16104.0
351669852,2.0,Beach Boulevard,residential,False,False,5.553,36,36,47.0,0.0,None,None,None,1.9700000286102295,2.0,1.9850000143051147,1.0,other,2.0,1504.0
122483548,2.0,1st Avenue South,residential,False,False,5.838,37,37,47.0,0.0,None,None,None,2.3399999141693115,2.3499999046325684,2.3449997901916504,1.0,other,2.0,1688.0
