y,x,street_count,od_id,EV1_me,node_fid
-19.8504692,34.8767312,3.0,nan,,
-19.848007,34.8556853,3.0,nan,,
-19.8510239,34.8723328,3.0,nan,,
-19.851031,34.8748553,3.0,nan,,
-19.8513266,34.8745304,3.0,nan,,
-19.8505504,34.8760621,3.0,nan,,
-19.8506145,34.8757849,3.0,nan,,
-19.8508504,34.875857,3.0,nan,,
-19.8502816,34.8758303,3.0,nan,,
-19.8505216,34.8759902,3.0,nan,,
-19.8505741,34.8758154,3.0,nan,,
-19.8508448,34.8754527,3.0,nan,,
-19.8495268,34.8755639,3.0,nan,,
-19.8512336,34.8761325,3.0,nan,,
-19.8514994,34.8761912,3.0,nan,,
-19.851247,34.8775892,3.0,nan,,
-19.8515692,34.8775705,3.0,nan,,
-19.8507931,34.8761131,3.0,nan,,
-19.8514734,34.8818069,3.0,nan,,
-19.8506447,34.8849103,3.0,nan,,
-19.849564,34.8884908,3.0,nan,,
-19.8488551,34.8898992,3.0,nan,,
-19.8468224,34.88912,3.0,nan,,
-19.8465369,34.894088,3.0,nan,,
-19.8458551,34.8953132,3.0,nan,,
-19.8457337,34.8955452,3.0,nan,,
-19.8448948,34.896987,3.0,nan,,
-19.8443229,34.8975271,3.0,nan,,
-19.8450733,34.8950674,4.0,nan,,
-19.8445375,34.8968822,4.0,nan,,
-19.8454581,34.8937356,4.0,nan,,
-19.8334454,34.8418513,3.0,nan,,
-19.8308049,34.844092,1.0,nan,,
-19.8309825,34.8439472,1.0,nan,,
-19.8305396,34.8436825,1.0,nan,,
-19.8480323,34.8545717,3.0,nan,,
-19.8479147,34.8405901,3.0,nan,,
-19.8481941,34.8485743,3.0,nan,,
-19.8477497,34.8459604,3.0,nan,,
-19.8479793,34.8431305,3.0,nan,,
-19.8466175,34.8401942,4.0,nan,,
-19.8466149,34.8397322,3.0,nan,,
-19.8431737,34.8470189,3.0,nan,,
-19.838891,34.838047,4.0,nan,,
-19.8380391,34.8386882,4.0,nan,,
-19.836736,34.8396219,3.0,nan,,
-19.835921,34.8399681,3.0,nan,,
-19.8360902,34.8402535,3.0,nan,,
-19.8362081,34.84026,3.0,nan,,
-19.8364003,34.8400467,3.0,nan,,
-19.8480512,34.8529615,4.0,nan,,
-19.848275,34.8507581,3.0,nan,,
-19.8470772,34.8532433,3.0,nan,,
-19.8387006,34.8398016,4.0,nan,,
-19.8366171,34.8403795,3.0,nan,,
-19.8353261,34.8385911,1.0,nan,,
