u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,EV1_me,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,name,junction
42002848,3510081992,0,435722626,True,3,N2,trunk,80,False,226.857,"[1, 1607]",1,80.0,0.003,nan,1.0,1.0,"[nan, 17623.7]",17623.7,nan,nan
42002848,42005643,0,72400805,True,2,N2,trunk,80,False,334.93,"[6, 1608, 1771, 1015, 1016]",4,80.0,0.004,nan,,1.0,"[nan, nan, nan, nan, nan]",0.0,nan,nan
42002848,2832217848,0,"[720205318, 284802951]",True,1,A79,motorway_link,80,False,557.7090000000001,"[1697, 1698, 5, 1772, 1709, 1710, 1900, 1621, 1368, 1370, 1695]",99,80.0,0.007,nan,2.8376068376068377,1.0,"[5106.36, 7375.72, 3973.48, nan, nan, nan, nan, 3459.03, nan, 2077.4, 4397.92]",26389.91,nan,nan
42003549,1912827603,0,"[382923864, 215573156]",True,"['3', '2']",A79,motorway,100,False,429.50999999999993,"[1600, 1601, 2, 1732, 933, 1832, 1290, 1739, 1292, 1738, 1295, 1296, 1359, 1754, 1756]",2,100.0,0.004,nan,4.592039800995025,1.0,"[9321.3, 10614.15, nan, 6360.93, 7329.81, 6501.99, 11161.6, 12002.58, 28520.13, 5122.15, 9804.55, 14793.35, 9347.31, nan, nan]",130879.85,nan,nan
42003549,2119022099,0,"[337060729, 254696086, 7125689, 7125692, 1093098142]",True,2,A2,motorway,100,False,603.4239999999999,"[3, 4, 7, 9, 10, 12, 20, 1558, 1560, 1821, 1822, 934, 1322, 1581, 1352, 1747, 1751, 1758, 1761, 1514, 1007, 1008, 1272]",3,100.0,0.006,"['viaduct', 'yes']",4.51,1.0,"[nan, nan, 7063.7, nan, nan, nan, nan, 2706.83, 4800.15, nan, nan, 4930.45, nan, 5108.07, nan, nan, 4793.87, 6541.5, nan, 9314.55, nan, 7248.15, nan]",52507.27,nan,nan
42003549,5284280680,0,425176802,True,4,A2,motorway,100,False,446.129,"[1488, 1752, 1755, 1757, 1759]",111,100.0,0.004,nan,3.2711864406779663,1.0,"[24020.82, 44553.66, 26646.94, 27416.62, 62714.97]",185353.01,nan,nan
42005643,2178785463,0,294242089,True,1,N2,trunk_link,80,False,416.235,"[1288, 905, 8, 1880, 1781, 1879, 1304]",93,80.0,0.005,nan,,1.0,"[nan, nan, nan, nan, nan, nan, nan]",0.0,nan,nan
42005643,2587147871,0,"[337060740, 337060741, 462397446]",True,1,N2,trunk,"['100', '80']",False,463.95500000000004,"[1602, 1347, 1604, 1603, 1515, 1420, 1421, 1521, 1778, 1779, 1780, 1366, 1531]",97,90.0,0.005,viaduct,3.5390070921985815,1.0,"[2752.06, nan, nan, 6286.92, 5757.39, 5898.46, 5895.27, nan, nan, 3188.24, 4984.7, 3025.81, nan]",37788.85,nan,nan
42009257,42010565,0,"[6779692, 587459364, 6779686, 6779687]",True,"['3', '2']",nan,primary,50,False,90.18,"[1568, 1773, 14, 2128, 17, 24]",5,50.0,0.002,yes,3.5833333333333335,1.0,"[nan, 5101.2, nan, nan, nan, 4222.04]",9323.24,Nieuwe Limmelderweg,nan
42009257,42012660,0,"[6779728, 1094522126]",True,1,A79,motorway_link,100,False,389.17900000000003,"[1504, 34, 2663, 2414, 15, 1232, 2417, 2418, 19, 2419, 2415, 22, 2416, 25, 1563, 30]",6,100.0,0.004,nan,2.1538461538461537,1.0,"[4598.3, 3737.48, nan, 5969.46, nan, nan, 1811.63, 2147.63, nan, 2244.22, 2122.23, 1652.79, 2151.66, nan, nan, 3621.32]",30056.72,nan,nan
42009257,3475088037,0,340425125,True,1,nan,motorway_link,50,False,8.181,1575,107,50.0,0.0,nan,,1.0,[nan],0.0,nan,nan
42010565,3475087790,0,241265004,True,1,nan,motorway_link,50,False,8.426,27,7,50.0,0.0,nan,,1.0,[nan],0.0,nan,nan
42010565,3441582576,0,"[587459368, 337060734]",True,2,nan,primary,50,False,185.361,"[1538, 1540, 1541, 1542, 1543, 1544, 1547, 1548, 1549, 1550, 1551, 1552, 1553, 1938, 1939, 1940, 1937, 28, 1744, 1746]",8,50.0,0.004,nan,2.0714285714285716,1.0,"[nan, nan, 2475.38, nan, nan, nan, nan, 1957.14, nan, nan, nan, 1417.21, nan, nan, nan, nan, 682.5, nan, 1719.22, nan]",8251.45,Nieuwe Limmelderweg,nan
42010565,42012783,0,"[6779730, 587459362]",True,"['2', '1']",A79,motorway_link,100,False,380.95700000000005,"[32, 36, 1701, 1702, 1700, 40, 1769, 2662, 1006, 1233, 2130]",11,100.0,0.004,nan,3.388235294117647,1.0,"[nan, 6066.31, 5850.62, 3091.39, nan, nan, 8694.97, nan, nan, nan, nan]",23703.29,nan,nan
42012660,42017065,0,"[435722624, 471789767, 6779722, 6779723, 6779084, 6779087, 85694896, 6779089, 508822928, 85694899, 6779102]",True,"['3', '2']",A79,motorway,100,False,2280.4910000000004,"[128, 131, 143, 1682, 147, 1684, 1686, 1687, 1690, 155, 158, 160, 161, 2084, 38, 2086, 1835, 1836, 1837, 1838, 1839, 1840, 1841, 50, 1842, 1843, 58, 65, 1605, 2250, 2251, 2252, 77, 2253, 2254, 2255, 80, 74, 2388, 1111, 1112, 90, 2396, 1117, 2397, 1118, 1119, 98, 1122, 1124, 1131, 1005, 114, 116, 2421, 2422, 118, 121]",9,100.0,0.023,"['viaduct', 'yes']",3.6783783783783783,1.0,"[nan, nan, 4345.12, nan, nan, nan, 16153.65, 3244.47, 13032.89, nan, nan, nan, nan, nan, 23796.62, nan, 10641.31, 10608.3, 3631.05, 3235.87, nan, nan, nan, 14102.94, nan, nan, 6197.85, 19875.6, 17529.44, nan, 3876.24, 3060.83, 8735.77, 6644.87, nan, nan, nan, nan, nan, nan, 3268.25, nan, 10119.6, nan, 15006.61, 3315.42, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",200422.7,nan,nan
42012660,1912827603,0,337017270,True,2,A79,motorway,100,False,643.9679999999998,"[33, 1506, 1833, 1834, 1584, 1586, 18, 29, 1237, 23, 1689, 989, 2398]",85,100.0,0.006,nan,1.4782608695652173,1.0,"[10234.43, 14748.96, 4457.53, nan, 5457.52, 4493.8, nan, nan, 4191.55, nan, nan, nan, 13109.8]",56693.59,nan,nan
42012783,2832217848,0,"[132365576, 6779729]",True,2,A79,motorway,100,False,818.9169999999999,"[37, 1703, 39, 1705, 1704, 11, 13, 16, 1010, 2420, 21, 1017, 26, 2491, 31]",10,100.0,0.008,nan,1.8413461538461537,1.0,"[9133.35, 5166.78, nan, 11104.75, 5960.44, nan, nan, 20671.15, 6213.03, 3736.37, 12631.07, nan, 11071.27, 26335.08, 8919.12]",120942.41,nan,nan
42012783,10024605460,0,"[1094520673, 1094520674, 6779749, 435562863, 85694897, 85694898, 6779091, 153020405, 6779097, 6779099, 6779742]",True,"['3', '2']",A79,motorway,100,False,2210.7139999999995,"[130, 135, 136, 137, 142, 2452, 2453, 1685, 1688, 153, 157, 159, 2083, 2085, 166, 167, 168, 165, 2727, 53, 60, 2119, 2120, 2121, 2122, 2123, 2124, 2125, 2126, 84, 85, 86, 985, 2393, 2394, 92, 1113, 1116, 1115, 1120, 1121, 1114, 988, 1125, 2411, 2412, 2413, 112, 1009, 2423]",124,100.0,0.022,"['viaduct', 'yes']",1.781954887218045,1.0,"[5093.26, nan, 18823.04, 3834.5, 4233.6, nan, nan, 5565.86, 9302.65, 28964.71, 8926.43, 17633.53, 18855.36, nan, nan, 5579.38, nan, nan, 4295.98, nan, 17185.12, 3585.18, 6469.17, nan, nan, 4156.87, nan, nan, nan, nan, 8009.29, nan, 4076.92, nan, 7505.23, nan, nan, nan, 6410.08, nan, nan, nan, 10117.29, 3296.18, 7734.48, 12996.28, nan, 2273.76, nan, nan]",224924.15,nan,nan
42016160,8626619502,0,"[182723360, 144158799]",True,nan,nan,secondary,50,False,40.647,"[2080, 66, 1945, 69, 72, 73, 882, 951, 952, 953, 1946, 1947, 63]",12,50.0,0.001,nan,1.0,1.0,"[248.16, 339.35, nan, 311.09, nan, nan, 339.54, nan, 340.39, nan, 236.25, nan, 267.72]",2082.5,Witte Hoek,roundabout
42016160,3441582576,0,"[459840416, 182723268, 587459367, 178160302, 224450608]",False,2,nan,secondary,50,False,435.00999999999993,"[1792, 1537, 1794, 1796, 1798, 1800, 1802, 1804, 1806, 1808, 1554, 1810, 1812, 1556, 1814, 1816, 1786, 1566, 1569, 1572, 1788, 41, 44, 51, 54, 2111, 1235, 1372, 1374, 1376, 1378, 1381, 1383, 2664, 1385, 2666, 1387, 1390, 1392, 1394, 1266, 1396, 1398, 1400, 1402, 1404, 1790]",104,50.0,0.009,nan,2.933333333333333,1.0,"[nan, 1325.46, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 447.08, 690.98, nan, 2073.99, 9137.2, 1101.12, 1677.92, 10021.27, 3740.07, nan, nan, nan, nan, nan, nan, 921.56, nan, 1346.13, nan, nan, nan, nan, 945.19, nan, nan, nan, nan, nan, nan]",33427.97,Ambyerweg,nan
42016160,931725785,0,"[182723360, 182723353]",True,nan,nan,secondary,50,False,42.17400000000001,"[67, 996, 68, 71, 1950, 61, 950, 954, 955, 1948, 1949, 62, 2079]",73,50.0,0.001,nan,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,Witte Hoek,roundabout
