osmid,oneway,lanes,ref,infra_type,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,name,junction,F_RP100_mi,F_RP100_ma,F_RP100_me,F_RP100_fr,F_RP1000_mi,F_RP1000_ma,F_RP1000_me,F_RP1000_fr,road_type,lanes_copy,dam_RP100_HZ,dam_RP1000_HZ,risk_HZ
435722626,True,3.0,N2,trunk,80,False,121.954,1,1,80,0.002,None,None,None,,,,1.0,,,,1.0,trunk,3.0,,,0.0
215573156,True,2.0,A79,motorway,100,False,31.186,2,2,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
254696086,True,2.0,A2,motorway,100,False,43.429,3,3,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
254696086,True,2.0,A2,motorway,100,False,26.171,4,3,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
720205318,True,1.0,A79,motorway_link,80,False,54.061,5,99,80,0.001,None,None,None,1.0,1.0,1.0,1.0,1.0,2.0,1.1666666666666667,1.0,motorway,1.0,3973.48,4383.45,419.470235
72400805,True,2.0,N2,trunk,80,False,46.783,6,4,80,0.001,None,None,None,,,,1.0,,,,1.0,trunk,2.0,,,0.0
7125689,True,2.0,A2,motorway,100,False,20.182,7,3,100,0.0,yes,None,None,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,motorway,2.0,7063.7,7063.7,741.6885
294242089,True,1.0,N2,trunk_link,80,False,142.662,8,93,80,0.002,None,None,None,,,,1.0,,,,1.0,trunk,1.0,,,0.0
7125692,True,2.0,A2,motorway,100,False,22.569,9,3,100,0.0,None,None,None,,,,1.0,2.0,4.0,2.6666666666666665,1.0,motorway,2.0,,5924.36,32.58398
7125692,True,2.0,A2,motorway,100,False,46.58,10,3,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
132365576,True,2.0,A79,motorway,100,False,9.23,11,10,100,0.0,None,None,None,,,,1.0,4.0,4.0,4.0,1.0,motorway,2.0,,2907.45,15.990974999999999
7125692,True,2.0,A2,motorway,100,False,85.496,12,3,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
132365576,True,2.0,A79,motorway,100,False,44.526,13,10,100,0.0,None,None,None,,,,1.0,1.0,3.0,1.8076923076923077,1.0,motorway,2.0,,9530.28,52.41654000000001
6779686,True,2.0,None,primary,50,False,11.735,14,5,50,0.0,None,Nieuwe Limmelderweg,None,,,,1.0,,,,1.0,primary,2.0,,,0.0
6779728,True,1.0,A79,motorway_link,100,False,11.402,15,6,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
132365576,True,2.0,A79,motorway,100,False,125.128,16,10,100,0.001,None,None,None,1.0,2.0,1.2,1.0,1.0,2.0,1.4666666666666666,1.0,motorway,2.0,26276.88,23707.59,2744.9413050000003
6779687,True,2.0,None,primary,50,False,14.091,17,5,50,0.0,yes,Nieuwe Limmelderweg,None,,,,1.0,,,,1.0,primary,2.0,,,0.0
337017270,True,2.0,A79,motorway,100,False,57.874,18,85,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779728,True,1.0,A79,motorway_link,100,False,22.482,19,6,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
337060729,True,2.0,A2,motorway,100,False,31.087,20,3,100,0.0,viaduct,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779729,True,2.0,A79,motorway,100,False,62.516,21,10,100,0.001,None,None,None,1.0,3.0,1.6363636363636365,1.0,1.0,4.0,2.357142857142857,1.0,motorway,2.0,12631.07,15394.56,1341.461545
6779728,True,1.0,A79,motorway_link,100,False,14.53,22,6,100,0.0,None,None,None,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,motorway,1.0,1652.79,1652.79,173.54295000000002
337017270,True,2.0,A79,motorway,100,False,42.097,23,85,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779692,True,3.0,None,primary,50,False,13.256,24,5,50,0.0,None,Nieuwe Limmelderweg,None,4.0,5.0,4.8,1.0,4.0,5.0,4.8,1.0,primary,3.0,4222.04,4222.04,443.31419999999997
6779728,True,1.0,A79,motorway_link,100,False,24.386,25,6,100,0.0,None,None,None,,,,1.0,1.0,1.0,1.0,1.0,motorway,1.0,,1792.37,9.858035000000001
6779729,True,2.0,A79,motorway,100,False,56.235,26,10,100,0.001,None,None,None,1.0,3.0,1.5625,1.0,1.0,4.0,2.033333333333333,1.0,motorway,2.0,15376.76,12891.87,1600.8929050000002
241265004,True,1.0,None,motorway_link,50,False,8.426,27,7,50,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
587459368,True,2.0,None,primary,50,False,12.114,28,8,50,0.0,None,Nieuwe Limmelderweg,None,,,,1.0,,,,1.0,primary,2.0,,,0.0
337017270,True,2.0,A79,motorway,100,False,58.082,29,85,100,0.001,None,None,None,,,,1.0,1.0,3.0,1.4814814814814814,1.0,motorway,2.0,,11082.91,60.956005000000005
6779728,True,1.0,A79,motorway_link,100,False,40.842,30,6,100,0.0,None,None,None,1.0,2.0,1.3333333333333333,1.0,1.0,2.0,1.3333333333333333,1.0,motorway,1.0,4764.9,3621.32,494.02480999999995
6779729,True,2.0,A79,motorway,100,False,38.546,31,10,100,0.0,None,None,None,1.0,3.0,2.074074074074074,1.0,3.0,4.0,3.9285714285714284,1.0,motorway,2.0,8919.12,12045.62,953.70335
587459362,True,2.0,A79,motorway_link,100,False,65.719,32,11,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
337017270,True,2.0,A79,motorway,100,False,69.622,33,85,100,0.001,None,None,None,1.0,1.0,1.0,1.0,2.0,4.0,3.4081632653061225,1.0,motorway,2.0,10234.43,20488.76,1131.013965
6779728,True,1.0,A79,motorway_link,100,False,36.612,34,6,100,0.0,None,None,None,1.0,3.0,1.6666666666666667,1.0,4.0,4.0,4.0,1.0,motorway,1.0,3737.48,5766.39,403.59440500000005
337060733,True,3.0,A2,motorway,100,False,23.066,35,90,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
6779730,True,1.0,A79,motorway_link,100,False,36.721,36,11,100,0.0,None,None,None,1.0,5.0,4.44,1.0,4.0,5.0,4.84,1.0,motorway,1.0,6066.31,6323.36,638.3763250000001
6779729,True,2.0,A79,motorway,100,False,48.831,37,10,100,0.0,None,None,None,1.0,3.0,1.44,1.0,3.0,5.0,4.085714285714285,1.0,motorway,2.0,9133.35,15528.26,994.173755
6779723,True,3.0,A79,motorway,100,False,63.121,38,9,100,0.001,None,None,None,2.0,4.0,3.3777777777777778,1.0,5.0,5.0,5.0,1.0,motorway,3.0,23796.62,28404.45,2523.9881649999998
6779729,True,2.0,A79,motorway,100,False,73.26,39,10,100,0.001,None,None,None,,,,1.0,2.0,5.0,3.480769230769231,1.0,motorway,2.0,,21745.54,119.60047000000002
6779730,True,1.0,A79,motorway_link,100,False,50.544,40,11,100,0.001,None,None,None,,,,1.0,2.0,5.0,3.75,1.0,motorway,1.0,,7739.55,42.567525
178160302,False,2.0,None,secondary,50,False,21.947,41,104,50,0.0,None,Ambyerweg,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,secondary,2.0,2469.04,2073.99,257.076425
459840416,False,2.0,None,secondary,50,True,4.47,42,13,50,0.0,None,Ambyerweg,None,,,,1.0,,,,1.0,secondary,2.0,,,0.0
1094518829,True,1.0,A79,motorway_link,100,False,79.494,43,58,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
182723268,False,2.0,None,secondary,50,False,50.313,44,104,50,0.001,None,Ambyerweg,None,2.0,4.0,3.0714285714285716,1.0,4.0,5.0,4.678571428571429,1.0,secondary,2.0,9137.2,10956.55,969.4124250000001
182723268,False,2.0,None,secondary,50,True,31.279,45,13,50,0.001,None,Ambyerweg,None,1.0,2.0,1.4285714285714286,1.0,1.0,4.0,2.3333333333333335,1.0,secondary,2.0,3740.07,4926.44,399.232385
6778694,True,3.0,A79,motorway,100,False,71.163,46,58,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
6778693,True,3.0,A79,motorway,100,False,60.53,47,123,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
6778693,True,3.0,A79,motorway,100,False,45.46,48,123,100,0.0,None,None,None,1.0,1.0,1.0,1.0,1.0,3.0,1.6363636363636365,1.0,motorway,3.0,8591.94,11809.27,919.8490150000001
6778693,True,3.0,A79,motorway,100,False,219.932,49,123,100,0.002,None,None,None,1.0,2.0,1.1428571428571428,1.0,1.0,3.0,1.3409090909090908,1.0,motorway,3.0,45243.15,50339.44,4778.560345
6779723,True,3.0,A79,motorway,100,False,33.729,50,9,100,0.0,None,None,None,3.0,5.0,4.291666666666667,1.0,5.0,5.0,5.0,1.0,motorway,3.0,14102.94,15178.05,1486.7218050000001
182723268,False,2.0,None,secondary,50,False,5.593,51,104,50,0.0,None,Ambyerweg,None,3.0,4.0,3.75,1.0,5.0,5.0,5.0,1.0,secondary,2.0,1101.12,1258.42,116.48275
182723268,False,2.0,None,secondary,50,True,50.313,52,13,50,0.001,None,Ambyerweg,None,2.0,4.0,3.0714285714285716,1.0,4.0,5.0,4.678571428571429,1.0,secondary,2.0,9137.2,10956.55,969.4124250000001
85694897,True,3.0,A79,motorway,100,False,49.426,53,124,100,0.0,None,None,None,,,,1.0,1.0,4.0,2.638888888888889,1.0,motorway,3.0,,16588.6,91.2373
182723268,False,2.0,None,secondary,50,False,8.286,54,104,50,0.0,None,Ambyerweg,None,4.0,4.0,4.0,1.0,5.0,5.0,5.0,1.0,secondary,2.0,3728.7,1864.35,381.259575
182723268,False,2.0,None,secondary,50,True,4.915,55,13,50,0.0,None,Ambyerweg,None,3.0,4.0,3.3333333333333335,1.0,5.0,5.0,5.0,1.0,secondary,2.0,1341.8,1105.88,139.59144
1094519681,True,2.0,A79,motorway,100,False,208.77,56,58,100,0.002,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
252677648,True,2.0,A2,motorway,100,False,23.33,57,90,100,0.0,yes,None,None,,,,1.0,1.0,1.0,1.0,1.0,motorway,2.0,,3429.51,18.862305000000003
6779723,True,3.0,A79,motorway,100,False,13.773,58,9,100,0.0,None,None,None,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,motorway,3.0,15494.62,6197.85,1575.802865
1094518827,True,2.0,A79,motorway,100,False,275.247,59,123,100,0.003,None,None,None,1.0,5.0,2.472972972972973,1.0,1.0,5.0,3.01875,1.0,motorway,2.0,88707.64,77249.79,9251.284025
85694897,True,3.0,A79,motorway,100,False,47.388,60,124,100,0.0,None,None,None,1.0,5.0,3.0588235294117645,1.0,5.0,5.0,5.0,1.0,motorway,3.0,17185.12,21324.6,1827.20474
182723353,True,2.0,None,secondary,50,False,2.365,61,73,50,0.0,None,Witte Hoek,roundabout,,,,1.0,1.0,2.0,1.5,1.0,secondary,2.0,,292.67,1.6096850000000003
182723353,True,2.0,None,secondary,50,False,3.182,62,73,50,0.0,None,Witte Hoek,roundabout,,,,1.0,3.0,3.0,3.0,1.0,secondary,2.0,,572.76,3.15018
144158799,True,2.0,None,secondary,50,False,2.833,63,12,50,0.0,None,Witte Hoek,roundabout,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,secondary,2.0,318.71,414.33,33.99046
224450608,False,2.0,None,secondary,50,True,10.002,64,13,50,0.0,None,Ambyerweg,None,1.0,1.0,1.0,1.0,2.0,3.0,2.142857142857143,1.0,secondary,2.0,945.19,1511.02,102.357015
6779723,True,3.0,A79,motorway,100,False,44.168,65,9,100,0.0,None,None,None,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,motorway,3.0,19875.6,19875.6,2086.9379999999996
144158799,True,2.0,None,secondary,50,False,3.591,66,12,50,0.0,None,Witte Hoek,roundabout,1.0,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,1.0,secondary,2.0,339.35,409.37,36.01686
182723353,True,2.0,None,secondary,50,False,2.279,67,73,50,0.0,None,Witte Hoek,roundabout,,,,1.0,2.0,3.0,2.3333333333333335,1.0,secondary,2.0,,358.94,1.9741700000000002
182723360,True,2.0,None,secondary,50,False,4.211,68,73,50,0.0,None,Witte Hoek,roundabout,,,,1.0,1.0,1.0,1.0,1.0,secondary,2.0,,397.94,2.18867
182723360,True,2.0,None,secondary,50,False,3.292,69,12,50,0.0,None,Witte Hoek,roundabout,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,secondary,2.0,370.35,481.46,39.497855
465432950,True,1.0,A79,motorway_link,80,False,11.749,70,15,80,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
182723360,True,2.0,None,secondary,50,False,4.066,71,73,50,0.0,None,Witte Hoek,roundabout,,,,1.0,,,,1.0,secondary,2.0,,,0.0
182723360,True,2.0,None,secondary,50,False,3.33,72,12,50,0.0,None,Witte Hoek,roundabout,,,,1.0,,,,1.0,secondary,2.0,,,0.0
182723360,True,2.0,None,secondary,50,False,1.99,73,12,50,0.0,None,Witte Hoek,roundabout,,,,1.0,,,,1.0,secondary,2.0,,,0.0
6779102,True,3.0,A79,motorway,100,False,42.63,74,9,100,0.0,viaduct,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
6779100,True,1.0,A79,motorway_link,100,False,30.918,75,15,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6779711,True,2.0,None,secondary,50,False,8.061,76,16,50,0.0,None,Maastrichterweg,None,1.0,1.0,1.0,1.0,1.0,3.0,1.4,1.0,secondary,2.0,761.76,950.39,81.022265
435722624,True,2.0,A79,motorway,100,False,33.895,77,9,100,0.0,None,None,None,3.0,5.0,3.9583333333333335,1.0,5.0,5.0,5.0,1.0,motorway,2.0,10627.49,11863.25,1122.68313
948868234,True,2.0,A79,motorway,100,False,36.197,78,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
1094520676,True,1.0,A79,motorway_link,100,False,60.101,79,15,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
508822928,True,3.0,A79,motorway,100,False,51.165,80,9,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
1094519680,True,3.0,A79,motorway,100,False,95.524,81,58,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
6779711,True,2.0,None,secondary,50,False,4.533,82,16,50,0.0,None,Maastrichterweg,None,,,,1.0,,,,1.0,secondary,2.0,,,0.0
6779104,True,2.0,A79,motorway,100,False,67.08,83,14,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779099,True,3.0,A79,motorway,100,False,42.307,84,124,100,0.0,viaduct,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
85694897,True,3.0,A79,motorway,100,False,39.703,85,124,100,0.0,None,None,None,1.0,2.0,1.2222222222222223,1.0,2.0,5.0,4.241379310344827,1.0,motorway,3.0,8536.14,16510.97,940.156265
6779091,True,3.0,A79,motorway,100,False,46.427,86,124,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
948868235,True,2.0,A79,motorway,100,False,31.818,87,71,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,16.224,88,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,17.066,89,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6779084,True,2.0,A79,motorway,100,False,71.929,90,9,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,9.179,91,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6779091,True,3.0,A79,motorway,100,False,94.715,92,124,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,41.56,93,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
465432959,True,1.0,A79,motorway_link,130,False,7.098,94,18,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6779079,True,2.0,A79,motorway,100,False,52.874,95,14,100,0.001,yes,None,None,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,motorway,2.0,7772.48,12028.84,839.5203799999999
252677652,True,2.0,A2,motorway,100,False,159.328,96,90,100,0.002,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779080,True,2.0,A79,motorway,100,False,66.338,97,14,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
85694896,True,2.0,A79,motorway,100,False,33.893,98,9,100,0.0,yes,None,None,,,,1.0,1.0,1.0,1.0,1.0,motorway,2.0,,4982.27,27.402485000000006
435722623,True,3.0,A2,motorway,100,False,57.846,99,31,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,3.0,,,0.0
465432959,True,1.0,A79,motorway_link,130,False,6.989,100,18,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6779711,True,2.0,None,secondary,50,False,7.9,101,16,50,0.0,None,Maastrichterweg,None,,,,1.0,,,,1.0,secondary,2.0,,,0.0
282707716,False,2.0,None,secondary,50,False,26.119,102,17,50,0.001,None,Maastrichterweg,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,secondary,2.0,2938.39,2468.25,305.94518
6779082,True,2.0,A79,motorway,100,False,67.976,103,14,100,0.001,yes,None,None,4.0,5.0,4.846153846153846,1.0,5.0,5.0,5.0,1.0,motorway,2.0,23425.58,23791.6,2461.6990100000003
6778696,True,1.0,A79,motorway_link,130,False,33.862,104,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,19.093,105,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,14.539,106,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,31.399,107,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,15.795,108,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
948868235,True,2.0,A79,motorway,100,False,169.151,109,71,100,0.002,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778579,True,2.0,A79,motorway,100,False,41.045,110,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779083,True,2.0,A79,motorway,100,False,51.037,111,71,100,0.001,yes,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
435562863,True,2.0,A79,motorway,100,False,37.406,112,124,100,0.0,None,None,None,1.0,2.0,1.4545454545454546,1.0,1.0,3.0,1.8666666666666667,1.0,motorway,2.0,7045.93,8160.74,745.9541050000001
6778579,True,2.0,A79,motorway,100,False,34.197,113,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
85694899,True,2.0,A79,motorway,100,False,22.427,114,9,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778579,True,2.0,A79,motorway,100,False,13.622,115,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779084,True,2.0,A79,motorway,100,False,86.349,116,9,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779085,True,2.0,A79,motorway,100,False,57.6,117,71,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779087,True,2.0,A79,motorway,100,False,27.447,118,9,100,0.0,viaduct,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778579,True,2.0,A79,motorway,100,False,32.769,119,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779088,True,2.0,A79,motorway,100,False,63.341,120,71,100,0.001,yes,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779722,True,2.0,A79,motorway,100,False,29.332,121,9,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778579,True,2.0,A79,motorway,100,False,33.637,122,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
282707716,False,2.0,None,secondary,50,False,22.639,123,17,50,0.0,None,Maastrichterweg,None,,,,1.0,,,,1.0,secondary,2.0,,,0.0
282707716,False,2.0,None,secondary,50,True,26.119,124,56,50,0.001,None,Maastrichterweg,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,secondary,2.0,2468.25,2468.25,259.16625
6778696,True,1.0,A79,motorway_link,130,False,75.372,125,113,130,0.001,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778579,True,2.0,A79,motorway,100,False,24.009,126,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6778579,True,2.0,A79,motorway,100,False,25.193,127,14,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779089,True,2.0,A79,motorway,100,False,19.619,128,9,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
435551040,True,2.0,A79,motorway,100,False,49.931,129,71,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
85694898,True,2.0,A79,motorway,100,False,34.648,130,124,100,0.0,yes,None,None,1.0,1.0,1.0,1.0,1.0,2.0,1.2,1.0,motorway,2.0,5093.26,5723.85,538.2605450000001
6779089,True,2.0,A79,motorway,100,False,110.273,131,9,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779093,True,1.0,A79,motorway_link,60,False,21.935,132,18,60,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6778696,True,1.0,A79,motorway_link,130,False,19.274,133,113,130,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
435551040,True,2.0,A79,motorway,100,False,109.766,134,71,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779097,True,2.0,A79,motorway,100,False,26.187,135,124,100,0.0,viaduct,None,None,,,,1.0,1.0,1.0,1.0,1.0,motorway,2.0,,3849.49,21.172195000000002
153020405,True,2.0,A79,motorway,100,False,112.563,136,124,100,0.001,None,None,None,1.0,2.0,1.2222222222222223,1.0,1.0,2.0,1.2727272727272727,1.0,motorway,2.0,24075.98,19340.37,2501.932045
6779742,True,2.0,A79,motorway,100,False,25.901,137,124,100,0.0,None,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,motorway,2.0,3807.45,3807.45,399.78225
435551040,True,2.0,A79,motorway,100,False,47.545,138,71,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
435551040,True,2.0,A79,motorway,100,False,56.467,139,71,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
435551040,True,2.0,A79,motorway,100,False,42.09,140,71,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
435551040,True,2.0,A79,motorway,100,False,51.736,141,71,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
6779749,True,2.0,A79,motorway,100,False,28.8,142,124,100,0.0,None,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,motorway,2.0,4233.6,4233.6,444.5280000000001
6779089,True,2.0,A79,motorway,100,False,27.157,143,9,100,0.0,None,None,None,1.0,2.0,1.1428571428571428,1.0,2.0,3.0,2.411764705882353,1.0,motorway,2.0,4345.12,6765.29,469.548535
282707716,False,2.0,None,secondary,50,False,13.942,144,17,50,0.0,None,Maastrichterweg,None,,,,1.0,,,,1.0,secondary,2.0,,,0.0
282707716,False,2.0,None,secondary,50,True,10.731,145,56,50,0.0,None,Maastrichterweg,None,,,,1.0,,,,1.0,secondary,2.0,,,0.0
435551043,True,1.0,A79,motorway_link,100,False,9.306,146,72,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
6779089,True,2.0,A79,motorway,100,False,87.225,147,9,100,0.001,None,None,None,,,,1.0,,,,1.0,motorway,2.0,,,0.0
435551043,True,1.0,A79,motorway_link,100,False,7.881,148,72,100,0.0,None,None,None,,,,1.0,,,,1.0,motorway,1.0,,,0.0
