ID,u,v,RP10_fr,RP10_ma,alt_nodes,alt_time,avgspeed,bridge,connected,diff_time,edge_fid,hazard,highway,lanes,length,link_id,maxspeed,node_A,node_B,rfid,rfid_c,time,vlh_business_RP10_ma,vlh_commute_RP10_ma,vlh_freight_RP10_ma,vlh_other_RP10_ma,vlh_RP10_ma_total
86,2,42,0.014317872852812477,1.3692126274108887,nan,,58.0,yes,nan,nan,2_42,RP10_ma,tertiary,nan,2582.0,86,nan,2,42,125,6,0.045,0.0,0.0,0.0,0.0,0.0
100,30,82,0.1008080717265549,0.6544582843780518,nan,,30.0,yes,nan,nan,30_82,RP10_ma,tertiary,nan,239.0,100,30,30,82,233,61,0.008,0.0,0.0,0.0,0.0,0.0
264,46,51,0.0026335971267420445,0.766716718673706,nan,,50.0,nan,0,nan,46_51,RP10_ma,secondary,nan,131.0,264,nan,46,51,151,89,0.003,1060.9375000000002,1181.25,240.625,4156.25,6639.0625
58,47,49,0.9325795443656716,7.217376708984375,nan,,58.0,nan,0,nan,47_49,RP10_ma,tertiary,nan,23.0,58,nan,47,49,145,91,0.0,14229.599999999999,20859.3,2182.95,97020.0,134291.84999999998
51,47,50,0.6154224904840293,1.3249706029891968,nan,,58.0,nan,0,nan,47_50,RP10_ma,tertiary,nan,32.0,51,nan,47,50,148,92,0.001,1968.75,5643.75,1859.375,10500.0,19971.875
266,47,160,0.9570509007431214,5.148582458496094,nan,,58.0,nan,0,nan,47_160,RP10_ma,tertiary,nan,230.0,266,nan,47,160,458,93,0.004,1940.4,3880.8,4446.75,80850.0,91117.95
54,48,50,0.06394068792717057,1.1489145755767822,nan,,58.0,nan,0,nan,48_50,RP10_ma,tertiary_link,nan,50.0,54,nan,48,50,149,94,0.001,3631.25,4462.5,1050.0,9625.0,18768.75
59,49,52,1.0,7.973543643951416,nan,,58.0,nan,0,nan,49_52,RP10_ma,tertiary,nan,229.0,59,nan,49,52,154,95,0.004,6144.6,12370.05,2910.6,111573.0,132998.25
189,49,108,0.9925323068450399,8.26990032196045,nan,,58.0,nan,0,nan,49_108,RP10_ma,tertiary,nan,574.0,189,nan,49,108,310,96,0.01,12289.2,18676.35,4365.9,24255.0,59586.45
150,50,76,0.9349504336343348,8.904513359069824,nan,,58.0,nan,0,nan,50_76,RP10_ma,tertiary,nan,547.0,150,nan,50,76,215,97,0.009,4204.2,7519.05,7842.450000000001,59829.0,79394.7
