link_type_hazard_intensity;duration_steps;functionality_loss_ratio
Troncal-N_0.0-0.2;[0.0];[0.0]
Troncal-N_0.2-0.5;[1.0];[0.01]
Troncal-N_0.5-1.5;[2.0];[0.02]
Troncal-N_1.5-9999.0;[10.0, 20.0];[0.2, 0.1]
Regional-N_0.0-0.2;[0.0];[0.0]
Regional-N_0.2-0.5;[1.0];[0.01]
Regional-N_0.5-1.5;[2.0];[0.02]
Regional-N_1.5-9999.0;[10.0, 20.0];[0.2, 0.1]
Local-N_0.0-0.2;[0.0];[0.0]
Local-N_0.2-0.5;[1.0];[0.01]
Local-N_0.5-1.5;[2.0];[0.02]
Local-N_1.5-9999.0;[10.0, 20.0];[0.2, 0.1]
Caminos Vecinales-N_0.0-0.2;[0.0];[0.0]
Caminos Vecinales-N_0.2-0.5;[1.5];[0.015]
Caminos Vecinales-N_0.5-1.5;[10.0, 30.0];[0.3, 0.1]
Caminos Vecinales-N_1.5-9999.0;[10.0, 30.0];[0.3, 0.1]
Troncal-S_0.0-0.2;[1.0];[0.01]
Troncal-S_0.2-0.5;[10.0, 20.0];[0.2, 0.1]
Troncal-S_0.5-1.5;[10.0, 30.0, 50.0];[0.5, 0.3, 0.1]
Troncal-S_1.5-9999.0;[10.0, 40.0, 100.0];[1, 0.6, 0.4]
Regional-S_0.0-0.2;[1.0];[0.01]
Regional-S_0.2-0.5;[10.0, 20.0];[0.2, 0.1]
Regional-S_0.5-1.5;[10.0, 30.0, 50.0];[0.5, 0.3, 0.1]
Regional-S_1.5-9999.0;[10.0, 40.0, 100.0];[1, 0.6, 0.4]
Local-S_0.0-0.2;[1.0];[0.01]
Local-S_0.2-0.5;[10.0, 20.0];[0.2, 0.1]
Local-S_0.5-1.5;[10.0, 30.0, 50.0];[0.5, 0.3, 0.1]
Local-S_1.5-9999.0;[10.0, 40.0, 100.0];[1, 0.6, 0.4]
Caminos Vecinales-S_0.0-0.2;[1.5];[0.015]
Caminos Vecinales-S_0.2-0.5;[10.0, 30.0];[0.3, 0.1]
Caminos Vecinales-S_0.5-1.5;[10.0, 30.0, 75.0];[0.75, 0.3, 0.1]
Caminos Vecinales-S_1.5-9999.0;[10.0, 40.0, 100.0];[1, 0.6, 0.4]
tunnel_0.0-0.2;[1.0];[0.01]
tunnel_0.2-0.5;[3.0];[0.03]
tunnel_0.5-1.5;[5.0];[0.05]
tunnel_1.5-9999.0;[10.0, 20.0];[0.2, 0.1]
Puentes_0.0-0.2;[3.0];[0.03]
Puentes_0.2-0.5;[5.0];[0.05]
Puentes_0.5-1.5;[10.0];[0.1]
Puentes_1.5-9999.0;[10.0, 20.0];[0.2, 0.1]
culvert_0.0-0.2;[5.0];[0.05]
culvert_0.2-0.5;[10.0];[0.1]
culvert_0.5-1.5;[10.0, 20.0];[0.2, 0.1]
culvert_1.5-9999.0;[10.0, 40.0];[0.4, 0.1]
