u,v,link_id,ID,highway,avgspeed,lanes,length_x,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,EV1_mi,EV1_fr,alt_length,alt_nodes,diff_length,connected,length_y,hazard
0,1,None,None,tertiary,60.0,nan,70.0,60,nan,0,1,0_1,1,4,0.001,0.0,0.0,,nan,,nan,,EV1_mi
0,2,None,None,tertiary,58.0,nan,70.0,nan,nan,0,2,0_2,2,7,0.001,0.0,0.0,,nan,,nan,,EV1_mi
0,3,None,None,tertiary,58.0,nan,71.0,nan,nan,0,3,0_3,3,10,0.001,0.0,0.0,,nan,,nan,,EV1_mi
1,465,None,None,tertiary,60.0,nan,47.0,60,nan,1,465,1_465,4,1470,0.001,0.0,0.0,,nan,,nan,,EV1_mi
1,663,None,None,residential,60.0,nan,69.0,nan,nan,1,663,1_663,5,2066,0.001,0.0,0.0,,nan,,nan,,EV1_mi
2,3,None,None,tertiary,58.0,nan,24.0,nan,nan,2,3,2_3,6,11,0.0,0.0,0.0,,nan,,nan,,EV1_mi
2,25,None,None,tertiary,58.0,nan,6.0,nan,nan,2,25,2_25,7,78,0.0,0.0,0.0,,nan,,nan,,EV1_mi
3,14,None,None,tertiary,58.0,nan,8.0,nan,nan,3,14,3_14,8,44,0.0,0.0,0.0,,nan,,nan,,EV1_mi
4,5,None,None,tertiary,58.0,nan,49.0,nan,nan,4,5,4_5,9,16,0.001,0.0,0.0,,nan,,nan,,EV1_mi
4,7,None,None,tertiary,58.0,nan,50.0,nan,nan,4,7,4_7,10,22,0.001,0.0,0.0,,nan,,nan,,EV1_mi
4,6,None,None,tertiary,60.0,2,37.0,60,nan,4,6,4_6,11,19,0.001,0.0,0.0,,nan,,nan,,EV1_mi
5,71,None,None,tertiary,58.0,nan,68.0,nan,nan,5,71,5_71,12,221,0.001,0.0,0.0,,nan,,nan,,EV1_mi
5,7,None,None,residential,60.0,nan,13.0,nan,nan,5,7,5_7,13,23,0.0,0.0,0.0,,nan,,nan,,EV1_mi
6,619,None,None,residential,60.0,nan,63.0,nan,nan,6,619,6_619,14,1935,0.001,0.0,0.0,,nan,,nan,,EV1_mi
6,623,None,None,tertiary,60.0,2,114.0,60,nan,6,623,6_623,15,1949,0.002,0.0,0.0,,nan,,nan,,EV1_mi
7,547,None,None,residential,60.0,nan,59.0,nan,nan,7,547,7_547,16,1728,0.001,0.0,0.0,,nan,,nan,,EV1_mi
