o_node,d_node,origin,destination,opt_path,length,match_ids,OD,length_EV1_ma,diff_length_EV1_ma,diff_length_EV1_ma_pc
11202022230,5632424987,"A_184,A_205,A_225",B_0,"[11202022230, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 11202022240, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 1934244651, 1934244688, 2569022472, 1934244721, 1934244724, 1934244736, 4722963440, 4092461288, 4092461282, 4722963441, 10901355551, 1934244732, 1934244728, 4722963448, 4722963452, 5632800155, 11202022263, 5632800162, 5632800161, 5632800160, 1934753518, 4723043854, 3250279364, 3250279362, 3250274460, 2593843727, 4723053011, 1935839917, 4723053009, 776521967, 1935839852, 8253130813, 8253130811, 8253130793, 5632424987]",5237.0,"[632, 630, 3787, 1205, 2774, 2770, 2298, 2298, 1208, 2322, 2321, 2228, 2668, 2784, 2785, 210, 963, 207, 965, 2219, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 744, 757, 1677, 1676, 778, 791, 2356, 2355, 2252, 2250, 3803, 3801, 788, 785, 2362, 2363, 2901, 2901, 2911, 2907, 968, 2394, 1967, 1964, 1962, 1694, 2396, 1320, 2395, 471, 1260, 3755, 3754, 3747, 2860]","A_184,A_205,A_225B_0",,,
11202022230,11202022282,"A_184,A_205,A_225",B_1,"[11202022230, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 11202022240, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 1934244651, 1934244688, 2569022472, 1934244721, 1934244724, 1934244736, 4722963440, 4092461288, 4092461282, 4722963441, 10901355551, 1934244732, 1934244728, 4722963448, 4722963452, 5632800155, 11202022263, 5632800162, 5632800161, 5632800160, 1934753518, 4723043854, 3250279364, 3250279362, 3250274460, 2593843727, 4723053011, 1935839917, 4723053009, 776521967, 1935839852, 8253130813, 8253130811, 8253130793, 5632424987, 11202022282]",5264.0,"[632, 630, 3787, 1205, 2774, 2770, 2298, 2298, 1208, 2322, 2321, 2228, 2668, 2784, 2785, 210, 963, 207, 965, 2219, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 744, 757, 1677, 1676, 778, 791, 2356, 2355, 2252, 2250, 3803, 3801, 788, 785, 2362, 2363, 2901, 2901, 2911, 2907, 968, 2394, 1967, 1964, 1962, 1694, 2396, 1320, 2395, 471, 1260, 3755, 3754, 3747, 2860, 2859]","A_184,A_205,A_225B_1",10219.0,4955.0,94.12993920972644
11202022230,1934244652,"A_184,A_205,A_225",B_2,"[11202022230, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 11202022240, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 1934261211, 1934244652]",2537.0,"[632, 630, 3787, 1205, 2774, 2770, 2298, 2298, 1208, 2322, 2321, 2228, 2668, 2784, 2785, 210, 963, 207, 965, 2219, 2220, 2223, 119, 120, 238, 311, 310, 894, 899, 902]","A_184,A_205,A_225B_2",2537.0,0.0,0.0
11202022230,11202022283,"A_184,A_205,A_225",B_3,"[11202022230, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 11202022240, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 1934771022, 11202022283]",5081.0,"[632, 630, 3787, 1205, 2774, 2770, 2298, 2298, 1208, 2322, 2321, 2228, 2668, 2784, 2785, 210, 963, 207, 965, 2219, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 2327, 2328, 349, 343, 759, 766, 767, 195, 794, 805, 818, 833, 831, 131, 859, 2896, 643, 2931, 2369, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 1183, 1184, 3601]","A_184,A_205,A_225B_3",,,
11202022230,11202022284,"A_184,A_205,A_225",B_4,"[11202022230, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 11202022240, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 1934771028, 4723135463, 4816491859, 4816491861, 1833313089, 4816491856, 5635142254, 1833313083, 1833313087, 4723303157, 11202022284]",5982.0,"[632, 630, 3787, 1205, 2774, 2770, 2298, 2298, 1208, 2322, 2321, 2228, 2668, 2784, 2785, 210, 963, 207, 965, 2219, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 2327, 2328, 349, 343, 759, 766, 767, 195, 794, 805, 818, 833, 831, 131, 859, 2896, 643, 2931, 2369, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 1183, 2438, 2704, 2711, 2710, 2695, 2696, 2933, 598, 2618, 2617]","A_184,A_205,A_225B_4",5982.0,0.0,0.0
11202022230,11202022285,"A_184,A_205,A_225","B_5,B_6","[11202022230, 1833347000, 9743549768, 1934772679, 1833347010, 5622112472, 5622112470, 11202022240, 4715615573, 1934772685, 4715748393, 762948410, 3930024332, 4813780322, 5624721177, 663133218, 1934288339, 663133212, 1934288342, 3930024301, 3930024304, 3930024321, 567933769, 567933770, 568013323, 683300823, 735175682, 683300824, 1934261208, 683300820, 4715753077, 762948429, 762948426, 1934244692, 567933754, 1934244719, 663132009, 663132021, 1934244743, 1934244753, 1934244764, 1934244771, 567933779, 1934244794, 5632800151, 1833347038, 5633351964, 4722986092, 1934244815, 567929911, 1934753652, 1934753661, 1934753671, 663132500, 4723127307, 4723127321, 5635142264, 2141099647, 1833313086, 4816491860, 1833313096, 4816491857, 1833313103, 1833313105, 567929915, 11202022285]",5713.0,"[632, 630, 3787, 1205, 2774, 2770, 2298, 2298, 1208, 2322, 2321, 2228, 2668, 2784, 2785, 210, 963, 207, 965, 2219, 2220, 2223, 119, 120, 238, 311, 310, 894, 893, 2327, 2328, 349, 343, 759, 766, 767, 195, 794, 805, 818, 833, 831, 131, 859, 2896, 643, 2931, 2369, 878, 1054, 1064, 1067, 1066, 2431, 2435, 2945, 1623, 1624, 2707, 2708, 2699, 2698, 628, 629, 6]","A_184,A_205,A_225B_5,B_6",5713.0,0.0,0.0
6355202157,5632424987,A_189,B_0,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 5632424987]",1296.0,"[1996, 554, 1248, 1247, 2858]",A_189B_0,,,
6355202157,11202022282,A_189,B_1,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 5632424987, 11202022282]",1323.0,"[1996, 554, 1248, 1247, 2858, 2859]",A_189B_1,,,
6355202157,1934244652,A_189,B_2,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 8253130794, 8253130802, 8253130795, 776522008, 2593845094, 2593845096, 2593845424, 11061441982, 11061441973, 11061441970, 5632534919, 4723043850, 3250279363, 3250279365, 2568927648, 2568934962, 5632800159, 5632800162, 11202022263, 5632800155, 4722963452, 4722963448, 1934244728, 1934244732, 10901355551, 4722963441, 4092461282, 4092461288, 4722963440, 1934244736, 1934244724, 1934244721, 2569022472, 1934244688, 1934244651, 4715753072, 762948426, 762948429, 1934244654, 1934244652]",4157.0,"[1996, 554, 1248, 1247, 3748, 3752, 3750, 479, 1700, 1706, 1710, 3862, 3856, 3854, 2864, 2390, 1966, 1969, 1627, 1634, 2906, 2910, 2901, 2901, 2363, 2362, 785, 788, 3801, 3803, 2250, 2252, 2355, 2356, 791, 778, 1676, 1677, 757, 2326, 344, 349, 750, 748]",A_189B_2,,,
6355202157,11202022283,A_189,B_3,"[6355202157, 3328127446, 776741705, 1934822550, 776741680, 8253130794, 8253130793, 8253130811, 8253130813, 1935839852, 776521967, 4723053009, 1935839917, 4723053011, 2593843727, 3250274460, 3250279362, 3250279364, 4723043854, 1934753518, 5632850456, 1934753559, 11202022264, 3888725418, 1934753550, 1934753552, 11202022265, 3888725454, 1833347018, 1934753588, 1934753598, 1934753609, 1833347044, 5635142262, 1833347056, 5635142263, 2141099647, 1833313086, 1934771028, 1934771022, 11202022283]",4782.0,"[1996, 554, 1248, 1247, 3748, 3749, 3747, 3754, 3755, 1260, 471, 2395, 1320, 2396, 1694, 1962, 1964, 1967, 2394, 2916, 2915, 2208, 2208, 2206, 974, 2216, 2216, 2215, 989, 1007, 1020, 1019, 648, 2940, 654, 2943, 1624, 1183, 1184, 3601]",A_189B_3,,,
