ID,evening_total,evening_freight,evening_commute,evening_business,evening_other,day_freight,day_commute,day_business,day_other,day_total
1265,0,0,0,0,0,2150,2783,0,98,5031
880,0,0,0,0,0,1189,1296,0,35,2520
1471,0,0,0,0,0,1248,4933,0,6,6187
1469,0,0,0,0,0,1248,4933,0,6,6187
1468,0,0,0,0,0,1248,4933,0,6,6187
1467,0,0,0,0,0,1248,4933,0,6,6187
1466,0,0,0,0,0,1248,4933,0,6,6187
1465,0,0,0,0,0,1248,4933,0,6,6187
1464,0,0,0,0,0,1248,4933,0,6,6187
1463,0,0,0,0,0,1248,4933,0,6,6187
1462,0,0,0,0,0,1248,4933,0,6,6187
1225,0,0,0,0,0,1120,1795,0,41,2956
1057,0,0,0,0,0,1120,1795,0,41,2956
1056,0,0,0,0,0,1120,1795,0,41,2956
1055,0,0,0,0,0,1120,1795,0,41,2956
1054,0,0,0,0,0,1120,1795,0,41,2956
1053,0,0,0,0,0,1120,1795,0,41,2956
1052,0,0,0,0,0,1120,1795,0,41,2956
1051,0,0,0,0,0,1120,1795,0,41,2956
1050,0,0,0,0,0,1120,1795,0,41,2956
1049,0,0,0,0,0,1120,1795,0,41,2956
1048,0,0,0,0,0,1120,1795,0,41,2956
1047,0,0,0,0,0,1120,1795,0,41,2956
1046,0,0,0,0,0,1120,1795,0,41,2956
1045,0,0,0,0,0,1120,1795,0,41,2956
1044,0,0,0,0,0,1120,1795,0,41,2956
949,0,0,0,0,0,1284,2054,0,7,3345
948,0,0,0,0,0,1284,2054,0,7,3345
947,0,0,0,0,0,1284,2054,0,7,3345
946,0,0,0,0,0,1284,2054,0,7,3345
945,0,0,0,0,0,1284,2054,0,7,3345
944,0,0,0,0,0,1284,2054,0,7,3345
943,0,0,0,0,0,1284,2054,0,7,3345
942,0,0,0,0,0,1284,2054,0,7,3345
941,0,0,0,0,0,1284,2054,0,7,3345
940,0,0,0,0,0,1015,2013,0,3,3031
939,0,0,0,0,0,1015,2013,0,3,3031
938,0,0,0,0,0,1015,2013,0,3,3031
937,0,0,0,0,0,1015,2013,0,3,3031
936,0,0,0,0,0,1015,2013,0,3,3031
935,0,0,0,0,0,1015,2013,0,3,3031
934,0,0,0,0,0,1015,2013,0,3,3031
933,0,0,0,0,0,1015,2013,0,3,3031
932,0,0,0,0,0,1015,2013,0,3,3031
931,0,0,0,0,0,1015,2013,0,3,3031
930,0,0,0,0,0,1015,2013,0,3,3031
929,0,0,0,0,0,1015,2013,0,3,3031
928,0,0,0,0,0,1015,2013,0,3,3031
927,0,0,0,0,0,1015,2013,0,3,3031
926,0,0,0,0,0,1015,2013,0,3,3031
925,0,0,0,0,0,1015,2013,0,3,3031
924,0,0,0,0,0,1015,2013,0,3,3031
923,0,0,0,0,0,1015,2013,0,3,3031
922,0,0,0,0,0,1886,2636,0,32,4554
921,0,0,0,0,0,1886,2636,0,32,4554
920,0,0,0,0,0,1886,2636,0,32,4554
919,0,0,0,0,0,1886,2636,0,32,4554
918,0,0,0,0,0,1886,2636,0,32,4554
917,0,0,0,0,0,1886,2636,0,32,4554
916,0,0,0,0,0,1886,2636,0,32,4554
915,0,0,0,0,0,1886,2636,0,32,4554
914,0,0,0,0,0,1886,2636,0,32,4554
913,0,0,0,0,0,1886,2636,0,32,4554
912,0,0,0,0,0,1886,2636,0,32,4554
911,0,0,0,0,0,1886,2636,0,32,4554
910,0,0,0,0,0,1886,2636,0,32,4554
