osmid,oneway,highway,length,rfid_c,geometry,rfid,avgspeed,time,name,maxspeed,lanes,ref,junction,bridge,u,v,key,alt_dist,alt_nodes,diff_dist,detour
44785078,True,tertiary,70.0,"[1, 983, 41]","LINESTRING (34.8767312 -19.8504692, 34.8764243 -19.8505868, 34.8763052 -19.8506415, 34.8761365 -19.8507433)",1,58.0,4.0,nan,nan,nan,nan,nan,nan,567924681,4095037852,0,95.0,"[567924681, 567929920, 4095037852]",25.0,1
820923407,False,tertiary,529.0,"[386, 388, 138, 267, 273]","LINESTRING (34.8815538 -19.8490569, 34.8801748 -19.8494517, 34.8789496 -19.8498189, 34.8777974 -19.8501604, 34.8773655 -19.8502849, 34.8767312 -19.8504692)",45,60.0,32.0,Ava Mártires da Revolução,60,nan,nan,nan,nan,567924681,683300830,0,7968.0,"[567924681, 567929920, 567929922, 567929928, 567929916, 567929915, 2141099647, 5635142264, 4723127321, 4723127307, 663132500, 567929911, 5633351964, 5632800164, 4722963447, 5632800156, 5632800161, 5632800160, 4723043854, 3250274460, 4723053009, 776521982, 776521998, 776390396, 6416932944, 4095037839, 4095037823, 1935869770, 683300830]",7439.0,1
44785077,True,tertiary,71.0,"[984, 40, 28]","LINESTRING (34.8760621 -19.8505504, 34.876277 -19.850533, 34.8764025 -19.8505229, 34.8767312 -19.8504692)",12,58.0,4.0,nan,nan,nan,nan,nan,nan,567924681,567929920,0,94.0,"[567924681, 4095037852, 567929920]",23.0,1
44785315,True,tertiary,118.0,"[823, 69, 13, 967]","LINESTRING (34.8556853 -19.848007, 34.8552152 -19.847975, 34.855008 -19.8479603, 34.8548484 -19.8479654, 34.8545717 -19.8480323)",3,58.0,7.0,Avenida das FPLM,nan,nan,nan,nan,nan,567929911,567932048,0,187.0,"[567929911, 5633351964, 567932048]",69.0,1
52014468,False,tertiary,320.0,"[12, 110, 368, 370, 372]","LINESTRING (34.8586841 -19.8485588, 34.8576581 -19.8483608, 34.8570949 -19.8482611, 34.8560287 -19.8480643, 34.8558516 -19.8480353, 34.8556853 -19.848007)",41,60.0,19.0,Avenida das FPLM,60,2,1344,nan,nan,567929911,663132500,0,8177.0,"[567929911, 5633351964, 5632800164, 4722963447, 5632800156, 5632800161, 5632800160, 4723043854, 3250274460, 4723053009, 776521982, 776521998, 776390396, 6416932944, 4095037839, 4095037823, 1935869770, 683300830, 567924681, 4095037852, 567929924, 567929928, 567929916, 567929915, 2141099647, 5635142264, 4723127321, 4723127307, 663132500]",7857.0,1
44785316,True,tertiary,124.0,"[352, 969, 714, 70]","LINESTRING (34.8546164 -19.847532, 34.8548241 -19.847669, 34.8550081 -19.8477634, 34.8552392 -19.8478591, 34.8556853 -19.848007)",224,58.0,8.0,Avenida das FPLM,nan,nan,nan,nan,nan,567929911,5633351964,0,181.0,"[567929911, 567932048, 5633351964]",57.0,1
44785083,True,tertiary,264.0,"[25, 19, 985, 1031]","LINESTRING (34.8723328 -19.8510239, 34.8734716 -19.8510354, 34.873806 -19.8510394, 34.8744437 -19.8510452, 34.8748553 -19.851031)",5,58.0,16.0,nan,nan,nan,nan,nan,nan,567929915,567929916,0,282.0,"[567929915, 567929917, 567929916]",18.0,1
479363812,False,tertiary,233.0,"[24, 17]","LINESTRING (34.8745304 -19.8513266, 34.8729745 -19.8511215, 34.8723328 -19.8510239)",10,58.0,14.0,Avenida das FPLM,nan,nan,nan,nan,nan,567929915,567929917,0,313.0,"[567929915, 567929916, 567929917]",80.0,1
590153115,False,tertiary,909.0,"[462, 270, 464, 272, 16, 276, 278, 829, 831]","LINESTRING (34.8638111 -19.8494692, 34.8640465 -19.8495169, 34.864131 -19.8495332, 34.866979 -19.8500648, 34.8672179 -19.8501082, 34.8678617 -19.8502314, 34.8700135 -19.8506306, 34.8702088 -19.8506631, 34.8719648 -19.8509773, 34.8723328 -19.8510239)",90,58.0,56.0,Avenida das FPLM,nan,nan,nan,nan,nan,567929915,2141099647,0,7588.0,"[567929915, 567929916, 567929928, 567929924, 4095037852, 567924681, 683300830, 1935869770, 4095037823, 4095037839, 6416932944, 776390396, 776521998, 776521982, 4723053009, 3250274460, 4723043854, 5632800160, 5632800161, 5632800156, 4722963447, 5632800164, 5633351964, 567929911, 663132500, 4723127314, 4723127315, 5635142263, 2141099647]",6679.0,1
473659365,False,tertiary,66.0,37,"LINESTRING (34.8748553 -19.851031, 34.8754527 -19.8508448)",17,58.0,4.0,nan,nan,nan,nan,nan,nan,567929916,567929928,0,8431.0,"[567929916, 567929915, 2141099647, 5635142264, 4723127321, 4723127307, 663132500, 567929911, 5633351964, 5632800164, 4722963447, 5632800156, 5632800161, 5632800160, 4723043854, 3250274460, 4723053009, 776521982, 776521998, 776390396, 6416932944, 4095037839, 4095037823, 1935869770, 683300830, 567924681, 4095037852, 567929924, 567929928]",8365.0,1
44785094,True,tertiary,49.0,"[986, 987, 988, 22]","LINESTRING (34.8748553 -19.851031, 34.8746851 -19.8511032, 34.8746301 -19.8511511, 34.8745832 -19.8512218, 34.8745304 -19.8513266)",9,58.0,3.0,nan,nan,nan,nan,nan,nan,567929916,567929917,0,497.0,"[567929916, 567929915, 567929917]",448.0,1
44785076,True,tertiary,24.0,"[660, 27, 659, 39]","LINESTRING (34.8760621 -19.8505504, 34.8761039 -19.850588, 34.8761317 -19.8506358, 34.876143 -19.8506892, 34.8761365 -19.8507433)",11,58.0,2.0,nan,nan,nan,nan,roundabout,nan,567929920,4095037852,0,100.0,"[567929920, 567924681, 4095037852]",76.0,1
