o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
331709123,4063782840,O_684,D_7,6478.0,0,special,EV1_ma,,
331709132,4063782840,"O_134,O_135,O_158,O_159,O_184",D_7,11397.0,0,special,EV1_ma,,
2508850918,4063782840,O_153,D_7,11457.0,0,special,EV1_ma,,
3394669337,4063782840,"O_2,O_3,O_4,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_16,O_17,O_18,O_19,O_23,O_24,O_25,O_31,O_32,O_41",D_7,13532.0,0,special,EV1_ma,,
3428458493,4063782840,O_1486,D_7,1682.0,0,special,EV1_ma,,
3428980365,4063782840,O_653,D_7,6728.0,0,special,EV1_ma,,
3428980381,4063782840,O_1614,D_7,931.0,0,special,EV1_ma,,
3429008352,4063782840,O_1538,D_7,1401.0,0,special,EV1_ma,,
3433832550,4063782840,O_1135,D_7,3636.0,0,special,EV1_ma,,
3564650505,4063782840,O_714,D_7,6143.0,0,special,EV1_ma,,
3564652654,4063782840,O_1226,D_7,3381.0,0,special,EV1_ma,,
3821405077,4063782840,O_651,D_7,6919.0,0,special,EV1_ma,,
3821451780,4063782840,O_652,D_7,6877.0,0,special,EV1_ma,,
3821591467,4063782840,O_1373,D_7,2230.0,0,special,EV1_ma,,
3821914627,4063782840,O_658,D_7,6902.0,0,special,EV1_ma,,
3821948187,4063782840,O_802,D_7,5618.0,0,special,EV1_ma,,
3821954713,4063782840,O_759,D_7,6157.0,0,special,EV1_ma,,
3821971295,4063782840,O_795,D_7,7717.0,0,special,EV1_ma,,
3821986008,4063782840,O_1580,D_7,1058.0,0,special,EV1_ma,,
3822006265,4063782840,O_1017,D_7,7231.0,0,special,EV1_ma,,
3822069228,4063782840,O_843,D_7,5690.0,0,special,EV1_ma,,
3823499298,4063782840,O_681,D_7,6506.0,0,special,EV1_ma,,
3830100212,4063782840,O_1390,D_7,7772.0,0,special,EV1_ma,,
3830152627,4063782840,O_1330,D_7,5165.0,0,special,EV1_ma,,
