o_node,d_node,origin,destination,lengthNorm,origin_cnt,category
331709123,13426690490.0,O_684,D_10,4857.0,0,special
331709132,13426690490.0,"O_134,O_135,O_158,O_159,O_184",D_10,9776.0,0,special
771226514,13426690290.0,O_1535,"O_1482,D_9",107.0,0,special
925661667,13426690494.0,O_1696,D_15,171.0,0,special
926903456,13426690494.0,O_1667,D_15,872.0,0,special
928015111,3433848566.0,"O_1027,O_1028,O_1071,O_1072,O_1115,O_1116",D_2,1889.0,0,special
928015121,13426690487.0,O_1532,D_4,178.0,0,special
1802763034,13426690396.0,O_1723,"O_1672,D_14",484.0,0,special
1802763037,13426690485.0,O_1612,D_1,461.0,0,special
1802763040,4063782840.0,O_1724,D_7,471.0,0,special
2288251476,3433848566.0,"O_692,O_729,O_771,O_772",D_2,6130.0,0,special
2288251491,3433848566.0,O_1298,D_2,2393.0,0,special
2288251496,3433848566.0,O_1349,D_2,3471.0,0,special
2407129266,13426690492.0,O_1258,D_12,792.0,0,special
2407129267,13426690492.0,O_1366,D_12,266.0,0,special
2407129320,13426690494.0,O_1695,D_15,389.0,0,special
2407129324,4063782840.0,O_1701,D_7,663.0,0,special
2508850918,13426690484.0,O_153,D_0,8594.0,0,special
2508850970,13426690484.0,O_401,D_0,5838.0,0,special
2807165572,13426690490.0,"O_1291,O_1347,O_1403",D_10,7023.0,0,special
3391980178,13426690484.0,O_1131,D_0,451.0,0,special
3391980218,13426690484.0,O_1133,D_0,1042.0,0,special
3391980226,13426690484.0,O_1220,D_0,602.0,0,special
3391980232,13426690484.0,O_1219,D_0,446.0,0,special
3391980236,13426690484.0,O_1175,D_0,184.0,0,special
3393111901,13426690490.0,"O_413,O_447,O_448,O_449,O_450,O_484,O_485,O_486,O_487,O_488,O_489,O_523,O_524,O_525,O_526,O_527,O_528,O_562,O_563,O_564,O_565,O_566,O_600,O_601,O_602",D_10,8206.0,0,special
3393111914,13426690484.0,O_263,D_0,7197.0,0,special
3393131920,4063782840.0,O_1736,D_7,3607.0,0,special
3393132306,4063782840.0,O_1737,D_7,3872.0,0,special
3393139900,4063782840.0,"O_1652,O_1679",D_7,4131.0,0,special
3393139916,4063782840.0,O_1711,D_7,4043.0,0,special
3393139937,4063782840.0,O_1712,D_7,4320.0,0,special
3393167299,13426690484.0,"O_367,O_368",D_0,6143.0,0,special
3393182799,13426690484.0,"O_325,O_365,O_366,O_400",D_0,5887.0,0,special
3394669337,13426690484.0,"O_2,O_3,O_4,O_7,O_8,O_9,O_10,O_11,O_12,O_13,O_16,O_17,O_18,O_19,O_23,O_24,O_25,O_31,O_32,O_41",D_0,10669.0,0,special
3398950279,13426690494.0,O_1668,D_15,645.0,0,special
3417995162,3433848566.0,O_1303,D_2,1619.0,0,special
3428458493,13426690490.0,O_1486,D_10,335.0,0,special
3428515856,3433848566.0,O_1309,D_2,647.0,0,special
3428515875,3433848566.0,O_1364,D_2,404.0,0,special
3428515900,13426690497.0,O_1423,D_18,130.0,0,special
3428515902,13426690486.0,O_1426,D_3,261.0,0,special
3428538997,4063782840.0,"O_1751,O_1775",D_7,2171.0,0,special
3428539006,4063782840.0,O_1822,D_7,3786.0,0,special
3428539007,4063782840.0,"O_1784,O_1798,O_1810,O_1837,O_1845,O_1853,O_1862,O_1868,O_1873",D_7,3870.0,0,special
3428539015,4063782840.0,"O_1773,O_1774,O_1788,O_1789,O_1828,O_1829,O_1830,O_1834,O_1835,O_1836,O_1842,O_1843,O_1844,O_1851,O_1852,O_1859,O_1860,O_1861,O_1865,O_1866,O_1867,O_1871,O_1872",D_7,7018.0,0,special
3428569741,4063782840.0,O_1776,D_7,2349.0,0,special
3428899712,13426690495.0,O_1607,D_16,823.0,0,special
3428923927,13426690485.0,O_1577,D_1,144.0,0,special
3428971840,13426690497.0,O_1368,D_18,398.0,0,special
3428980365,13426690484.0,O_653,D_0,4215.0,0,special
