from_id,to_id,highway,lanes,ref,oneway,reversed,length,rfid_c,maxspeed,name,bridge,service,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_P,node_A,node_B,edge_fid,osmid_original
3821451780.0,331709118.0,primary,2,N10,0.0,1.0,118.0,6340,nan,nan,nan,,1837,50.0,0.002,,0.0,0,,,nan,30106704.0
3821405064.0,331709118.0,primary,2,N10,0.0,0.0,42.0,6236,nan,nan,nan,,1807,50.0,0.001,,0.0,0,,,nan,243490143.0
3428980365.0,331709118.0,unclassified,nan,nan,0.0,1.0,214.0,"[2879.0, 6291.0]",nan,nan,None,,941,50.0,0.004,,0.0,0,,,nan,335788384.0
3849041151.0,331709122.0,tertiary,nan,104.0,0.0,1.0,196.0,"[14170.0, 25046.0]",nan,nan,None,,3136,60.0,0.003,,0.0,0,,,nan,30106708.0
5739169835.0,331709122.0,unclassified,nan,nan,0.0,0.0,99.0,"[25840.0, 14176.0]",nan,nan,None,,4683,50.0,0.002,,0.0,0,,,nan,335788384.0
3429918229.0,331709122.0,tertiary,nan,nan,0.0,0.0,60.0,"[3131.0, 25047.0]",60.0,Avenida Julius Nyerere,None,,1006,60.0,0.004,,0.0,0,331709122.0,13426689812.0,331709122_13426689812,79250096.0
3849041151.0,331709123.0,tertiary,nan,104,0.0,0.0,135.0,14169,nan,nan,nan,,3135,60.0,0.002,,0.0,0,,,nan,30106708.0
3849040926.0,331709123.0,tertiary,nan,104.0,0.0,1.0,161.0,"[14099.0, 25044.0]",nan,nan,None,,3115,60.0,0.003,,0.0,0,,,nan,30106708.0
3835140137.0,331709123.0,residential,nan,nan,0.0,1.0,177.0,"[9827.0, 6612.0, 21648.0]",nan,nan,None,,2413,41.0,0.004,,0.0,0,,,nan,378819566.0
2508850938.0,331709132.0,tertiary,nan,104.0,0.0,0.0,158.0,"[462.0, 14977.0, 32.0, 14979.0, 14981.0, 34.0, 15703.0]",nan,nan,None,,299,60.0,0.01,,0.0,0,331709132.0,13426689546.0,331709132_13426689546,30106708.0
3428980381.0,331711849.0,tertiary,nan,nan,0.0,1.0,170.0,2916,60,Avenida Julius Nyerere,nan,,953,60.0,0.003,,0.0,0,,,nan,79250096.0
1802763029.0,331711849.0,tertiary,nan,nan,0.0,0.0,122.0,171,60,Avenida Julius Nyerere,nan,,120,60.0,0.002,,0.0,0,,,nan,79250096.0
3429008376.0,331711849.0,residential,nan,nan,0.0,0.0,66.0,2999,nan,nan,nan,,978,41.0,0.002,,0.0,0,,,nan,335738657.0
3433834200.0,331711849.0,tertiary,nan,104,0.0,0.0,96.0,3701,nan,Rua 25 de Junho,nan,,1209,60.0,0.002,,0.0,0,,,nan,407498726.0
3428923930.0,331711854.0,residential,nan,nan,0.0,0.0,42.0,2798,nan,nan,nan,,903,41.0,0.001,0.47412824630737305,0.995984665909876,0,,,nan,335777795.0
2407129283.0,331711854.0,tertiary,nan,104,0.0,1.0,125.0,330,nan,Rua 25 de Junho,nan,,210,60.0,0.002,0.47412824630737305,0.1846507919752374,0,,,nan,407498726.0
331711859.0,331711854.0,tertiary,nan,104.0,0.0,0.0,181.0,"[49.0, 16467.0]",nan,Rua 25 de Junho,None,,21,60.0,0.003,0.6341280937194824,1.0,0,,,nan,407498726.0
3428899705.0,331711854.0,residential,nan,nan,0.0,1.0,349.0,"[2674.0, 11033.0, 18046.0, 2678.0, 2680.0, 2682.0, 18044.0, 2684.0, 2686.0, 10542.0]",nan,nan,None,,847,41.0,0.01,0.5841279029846191,0.9262839364074821,0,331711854.0,13426690496.0,331711854_13426690496,335777795.0
331711873.0,331711859.0,primary,nan,N10,0.0,1.0,124.0,54,nan,nan,nan,,23,50.0,0.002,0.5941281318664551,1.0,0,,,nan,61884792.0
771226514.0,331711859.0,primary,nan,N10,0.0,0.0,192.0,"[76.0, 2675.0, 2872.0, 27760.0, 2805.0, 27758.0]",nan,nan,None,,39,50.0,0.008,0.6641280651092529,1.0,0,331711859.0,13426690318.0,331711859_13426690318,61884792.0
4049479651.0,331711859.0,tertiary,nan,104.0,0.0,0.0,77.0,"[14961.0, 2807.0]",nan,Rua 25 de Junho,None,,3218,60.0,0.004,0.5941281318664551,1.0,0,331711859.0,13426690340.0,331711859_13426690340,407498726.0
13279963678.0,331711873.0,unclassified,nan,nan,0.0,1.0,43.0,27780,nan,Avenida 7 de Setembro,nan,,4965,50.0,0.001,0.30615901947021484,0.5925299742739464,0,,,nan,79499358.0
1802763037.0,331711873.0,tertiary,nan,nan,0.0,0.0,93.0,193,nan,nan,nan,,138,60.0,0.002,0.44615888595581055,0.8936605298241104,0,,,nan,622396851.0
2407129292.0,331711873.0,primary,nan,N10,0.0,1.0,183.0,"[349.0, 27181.0]",nan,nan,None,,219,50.0,0.004,0.30615901947021484,0.7669244126314747,0,,,nan,61884792.0
5734300654.0,331711876.0,primary,2,N10,0.0,0.0,38.0,22152,nan,nan,nan,,4154,50.0,0.001,0.6509177684783936,1.0,0,,,nan,30106704.0
3815918249.0,331711876.0,primary,nan,N10,0.0,1.0,151.0,"[4515.0, 2716.0, 1014.0, 1019.0, 22830.0]",nan,nan,None,,1451,50.0,0.003,0.6809177398681641,1.0,0,,,nan,61884792.0
3391980202.0,331711876.0,primary,nan,N10,0.0,0.0,55.0,"[1259.0, 19814.0]",nan,nan,None,,432,50.0,0.001,0.6709177494049072,1.0,0,,,nan,61884790.0
3391980153.0,331711884.0,primary,2,N10,0.0,1.0,35.0,1163,nan,nan,nan,,415,50.0,0.001,,0.0,0,,,nan,30106704.0
3391960417.0,331711884.0,primary,2,N10,0.0,0.0,95.0,541,nan,nan,nan,,314,50.0,0.002,0.3811159133911133,0.9728083851236198,0,,,nan,30106704.0
3391980218.0,331711884.0,residential,nan,nan,0.0,1.0,41.0,"[1298.0, 1364.0, 1362.0, 1360.0, 1358.0, 1356.0, 1354.0]",nan,nan,None,,448,41.0,0.008,0.2811160087585449,0.9458937646259812,0,331711884.0,13426690034.0,331711884_13426690034,332083805.0
5728735735.0,331711893.0,unclassified,nan,nan,0.0,1.0,76.0,20291,nan,nan,nan,,3918,50.0,0.002,,0.0,0,,,nan,603052583.0
3564650505.0,331711893.0,residential,nan,nan,0.0,0.0,214.0,"[4417.0, 26023.0, 4392.0]",nan,nan,None,,1410,41.0,0.005,0.17169427871704102,0.08091950676898038,0,,,nan,603052582.0
5728735723.0,331711893.0,primary,2.0,N10,0.0,0.0,186.0,"[20263.0, 19287.0]",nan,nan,None,,3911,50.0,0.004,,0.0,0,,,nan,30106704.0
5734453093.0,331711893.0,primary,2.0,N10,0.0,1.0,63.0,"[22537.0, 2892.0, 22815.0]",nan,nan,None,,4206,50.0,0.002,,0.0,0,331711893.0,13426689785.0,331711893_13426689785,30106704.0
3428515916.0,771226514.0,primary,nan,N10,0.0,0.0,128.0,2611,nan,nan,nan,,826,50.0,0.003,0.5584688186645508,1.0,0,,,nan,61884792.0
5739168701.0,771226514.0,residential,nan,nan,0.0,0.0,103.0,25772,nan,nan,nan,,4656,41.0,0.003,0.5584688186645508,1.0,0,,,nan,335777793.0
3428515909.0,771226514.0,unclassified,nan,nan,0.0,0.0,107.0,"[2594.0, 2609.0, 24548.0, 95.0, 15512.0, 24550.0]",nan,nan,None,,813,50.0,0.008,0.5294928550720215,1.0,0,771226514.0,13426690290.0,771226514_13426690290,61884788.0
771226514.0,331711859.0,primary,nan,N10,0.0,0.0,193.0,"[76.0, 2675.0, 2872.0, 27760.0, 2805.0, 27758.0]",nan,nan,None,,39,50.0,0.008,0.6094927787780762,1.0,0,13426690318.0,771226514.0,13426690318_771226514.0,61884792.0
3428515911.0,771226628.0,primary,nan,N10,0.0,1.0,114.0,2603,nan,nan,nan,,822,50.0,0.002,0.4412240982055664,0.4874581399828595,0,,,nan,61884792.0
3845064727.0,771226628.0,primary,nan,N10,0.0,0.0,61.0,11306,nan,nan,nan,,2662,50.0,0.001,0.5010228157043457,1.0,0,,,nan,61884792.0
3428515886.0,771226628.0,tertiary,nan,nan,0.0,0.0,168.0,"[2542.0, 19791.0, 27200.0]",nan,nan,None,,790,60.0,0.003,0.4412240982055664,0.5643737764735537,0,,,nan,61884786.0
3845130638.0,771226628.0,unclassified,nan,nan,0.0,1.0,73.0,"[11398.0, 11161.0]",nan,nan,None,,2676,50.0,0.001,0.4412240982055664,1.0,0,,,nan,475152144.0
3428515841.0,771226715.0,tertiary,nan,nan,0.0,0.0,196.0,"[2450.0, 19994.0, 19996.0]",nan,nan,None,,734,60.0,0.003,0.731374979019165,1.0,0,,,nan,378957117.0
3428515869.0,771226715.0,tertiary,nan,nan,0.0,1.0,125.0,"[2505.0, 19794.0, 16454.0, 19796.0]",nan,nan,None,,767,60.0,0.002,0.6013751029968262,1.0,0,,,nan,61884786.0
3428971840.0,771226715.0,primary,nan,N10,0.0,0.0,195.0,"[2838.0, 10844.0, 10842.0]",nan,nan,None,,919,50.0,0.004,0.7004814147949219,1.0,0,,,nan,61884790.0
3845064753.0,771226715.0,primary,nan,N10,0.0,1.0,113.0,"[11310.0, 19813.0, 19811.0]",nan,nan,None,,2666,50.0,0.006,0.6013751029968262,1.0,0,771226715.0,13426690191.0,771226715_13426690191,61884790.0
4675302842.0,771226740.0,residential,nan,nan,0.0,0.0,144.0,16532,nan,Avenida Josina Machel,nan,,3495,41.0,0.004,,0.0,0,,,nan,473412984.0
1802763039.0,771226740.0,primary,nan,N10,0.0,1.0,106.0,199,nan,nan,nan,,141,50.0,0.002,,0.0,0,,,nan,634540980.0
1802763056.0,771226740.0,residential,nan,nan,0.0,0.0,246.0,"[211.0, 22063.0]",nan,nan,None,,152,41.0,0.006,0.4501051902770996,0.12654496643898616,0,,,nan,169106299.0
3398946969.0,771226740.0,primary,nan,N10,0.0,1.0,143.0,"[1946.0, 16504.0]",nan,nan,None,,558,50.0,0.003,0.10010528564453125,0.314448912695952,0,,,nan,475152145.0
925662622.0,925661667.0,tertiary,nan,nan,0.0,1.0,81.0,121,nan,nan,nan,,74,60.0,0.001,0.8744230270385742,0.6159592085908465,0,,,nan,634540983.0
2407129320.0,925661667.0,tertiary,nan,nan,0.0,0.0,218.0,"[415.0, 27190.0]",nan,nan,None,,269,60.0,0.004,2.5944230556488037,0.7879299366819774,0,,,nan,30106733.0
2407129326.0,925661667.0,unclassified,nan,nan,0.0,1.0,160.0,"[434.0, 15088.0]",nan,nan,None,,287,50.0,0.003,3.532661199569702,0.7211654263703093,0,,,nan,622396854.0
3428899721.0,925661704.0,tertiary,nan,nan,0.0,1.0,11.0,2714,60,Avenida Julius Nyerere,nan,,872,60.0,0.0,,0.0,0,,,nan,79250096.0
925662514.0,925661704.0,residential,nan,nan,0.0,0.0,49.0,118,50,Avenida Julius Nyerere,nan,,70,50.0,0.001,1.7226612567901611,0.7957933520069896,0,,,nan,640197658.0
925661704.0,2407129325.0,tertiary,nan,nan,1.0,0.0,191.0,"[101.0, 15113.0, 22087.0, 27192.0]",nan,Avenida Samora Machel,None,,58,60.0,0.003,1.3326611518859863,0.0025580111319378784,0,,,nan,79250105.0
4056655812.0,925661865.0,unclassified,nan,nan,0.0,0.0,89.0,14998,nan,nan,nan,,3230,50.0,0.002,,0.0,0,,,nan,335777792.0
2407129314.0,925661865.0,tertiary,nan,nan,0.0,1.0,230.0,"[399.0, 25074.0]",60.0,Avenida Julius Nyerere,None,,256,60.0,0.004,,0.0,0,,,nan,79250096.0
2407129321.0,925661865.0,unclassified,nan,nan,0.0,1.0,95.0,"[421.0, 15175.0, 15179.0]",nan,nan,None,,272,50.0,0.002,,0.0,0,,,nan,335777792.0
925662643.0,925661865.0,tertiary,nan,nan,0.0,0.0,77.0,"[124.0, 15085.0]",60.0,Avenida Julius Nyerere,None,,79,60.0,0.003,,0.0,0,925661865.0,13426690412.0,925661865_13426690412,79250096.0
1802763025.0,925661889.0,unclassified,nan,nan,0.0,0.0,102.0,164,nan,Avenida 7 de Julho,nan,,113,50.0,0.002,,0.0,0,,,nan,79250090.0
3428899717.0,925661889.0,primary,nan,N10,0.0,1.0,12.0,2703,nan,Avenida 7 de Julho,nan,,861,50.0,0.0,,0.0,0,,,nan,634540976.0
5728176514.0,925661889.0,primary,nan,N10,0.0,0.0,108.0,"[19136.0, 15073.0, 15079.0, 27182.0, 22842.0]",nan,nan,None,,3801,50.0,0.002,,0.0,0,,,nan,61884792.0
3428899719.0,925661889.0,tertiary,nan,nan,0.0,0.0,43.0,"[2708.0, 27188.0]",nan,nan,None,,868,60.0,0.003,,0.0,0,925661889.0,13426690395.0,925661889_13426690395,634540983.0
3433832589.0,925662450.0,tertiary,nan,nan,0.0,1.0,82.0,3677,60,Avenida Julius Nyerere,nan,,1192,60.0,0.001,,0.0,0,,,nan,79250096.0
5736740931.0,925662450.0,tertiary,nan,nan,0.0,0.0,62.0,24559,60,Avenida Julius Nyerere,nan,,4479,60.0,0.001,,0.0,0,,,nan,79250096.0
5736740935.0,925662450.0,unclassified,nan,nan,0.0,0.0,67.0,24568,nan,nan,nan,,4484,50.0,0.001,,0.0,0,,,nan,475152144.0
2407129326.0,925662514.0,unclassified,nan,nan,0.0,0.0,149.0,"[433.0, 15111.0, 15102.0, 15105.0]",nan,nan,None,,286,50.0,0.004,2.672661304473877,0.8951198855254637,0,925662514.0,13426690423.0,925662514_13426690423,622396854.0
1802763034.0,925662514.0,unclassified,nan,nan,0.0,1.0,39.0,"[187.0, 15117.0, 15119.0, 15121.0, 17845.0, 208.0, 17843.0, 25207.0, 25209.0, 15110.0, 15108.0, 15115.0, 16124.0]",nan,nan,None,,130,50.0,0.008,1.7226612567901611,0.5730692260145652,0,925662514.0,13426690424.0,925662514_13426690424,169106298.0
3428899719.0,925662622.0,tertiary,nan,nan,0.0,1.0,11.0,2709,nan,nan,nan,,867,60.0,0.0,,0.0,0,,,nan,634540983.0
925662622.0,2407129319.0,tertiary,nan,nan,1.0,0.0,128.0,"[119.0, 22090.0]",nan,Avenida Samora Machel,None,,75,60.0,0.002,,0.0,0,,,nan,79250105.0
2407129325.0,925662622.0,tertiary,nan,nan,1.0,0.0,87.0,"[429.0, 22088.0, 22089.0]",nan,Avenida Samora Machel,None,,283,60.0,0.003,,0.0,0,925662622.0,13426690411.0,925662622_13426690411,79250105.0
4063696659.0,925662643.0,unclassified,nan,nan,0.0,0.0,103.0,15097,nan,Avenida 7 de Julho,nan,,3241,50.0,0.002,,0.0,0,,,nan,79250090.0
4063782875.0,925662643.0,unclassified,nan,nan,0.0,1.0,90.0,"[15195.0, 24522.0]",nan,Avenida 7 de Julho,None,,3260,50.0,0.002,,0.0,0,,,nan,79250090.0
3428899721.0,925662643.0,tertiary,nan,nan,0.0,0.0,163.0,"[2713.0, 15095.0, 15089.0]",60.0,Avenida Julius Nyerere,None,,873,60.0,0.003,,0.0,0,,,nan,79250096.0
925662643.0,925661865.0,tertiary,nan,nan,0.0,0.0,76.0,"[124.0, 15085.0]",60.0,Avenida Julius Nyerere,None,,79,60.0,0.003,,0.0,0,13426690412.0,925662643.0,13426690412_925662643.0,79250096.0
3398942226.0,926903456.0,tertiary,nan,nan,0.0,0.0,77.0,1937,nan,nan,nan,,554,60.0,0.001,1.4574339389801025,1.0,0,,,nan,602589382.0
3431741237.0,926903456.0,residential,nan,nan,0.0,1.0,34.0,"[3500.0, 3498.0, 17832.0, 3503.0, 16545.0, 16543.0, 16541.0]",nan,nan,None,,1137,41.0,0.003,2.257434129714966,1.0,0,926903456.0,13426690376.0,926903456_13426690376,332761208.0
3398950279.0,926903456.0,tertiary,nan,nan,0.0,1.0,80.0,"[1965.0, 4216.0, 1941.0]",nan,nan,None,,567,60.0,0.004,1.5074341297149658,1.0,0,926903456.0,13426690377.0,926903456_13426690377,30106733.0
3398942226.0,926903464.0,tertiary,nan,nan,0.0,1.0,70.0,1938,nan,nan,nan,,555,60.0,0.001,1.177433967590332,1.0,0,,,nan,602589382.0
3428899712.0,926903464.0,tertiary,nan,nan,0.0,0.0,14.0,2689,nan,nan,nan,,849,60.0,0.0,0.1656017303466797,1.0,0,,,nan,602589382.0
1802763031.0,926903464.0,tertiary,nan,nan,1.0,0.0,177.0,"[178.0, 22092.0, 22093.0]",nan,Avenida Samora Machel,None,,128,60.0,0.003,0.835601806640625,0.08429813339064415,0,,,nan,79250105.0
4095518926.0,928015111.0,tertiary,nan,nan,0.0,1.0,12.0,"[15941.0, 15996.0]",nan,nan,None,,3361,60.0,0.0,0.9733753204345703,1.0,0,,,nan,475151921.0
928015111.0,4095518948.0,tertiary,nan,nan,1.0,0.0,73.0,"[133.0, 15946.0, 15947.0, 15948.0, 15949.0, 15950.0, 15951.0, 15952.0, 15953.0, 15954.0, 15955.0, 15956.0, 15957.0, 15958.0, 15959.0, 15960.0, 27184.0]",nan,nan,None,,85,60.0,0.007,1.023979663848877,1.0,0,928015111.0,13426690024.0,928015111_13426690024,407498729.0
4543081985.0,928015116.0,primary,nan,N10,0.0,1.0,93.0,16479,nan,nan,nan,,3489,50.0,0.002,0.4605083465576172,1.0,0,,,nan,61884790.0
928015121.0,928015116.0,primary,nan,N10,0.0,0.0,120.0,145,nan,nan,nan,,97,50.0,0.002,0.40073251724243164,1.0,0,,,nan,475152145.0
3428971854.0,928015116.0,tertiary,nan,104.0,0.0,0.0,82.0,"[2870.0, 20063.0]",nan,Rua 25 de Junho,None,,938,60.0,0.001,0.40073251724243164,0.9462897927523997,0,,,nan,407498726.0
3821893818.0,928015116.0,tertiary,nan,104.0,0.0,1.0,110.0,"[6575.0, 16458.0]",nan,Rua 25 de Junho,None,,1887,60.0,0.002,0.4107322692871094,1.0,0,,,nan,407498726.0
4543076885.0,928015118.0,tertiary,nan,104.0,0.0,1.0,92.0,"[16470.0, 27187.0]",nan,Rua 25 de Junho,None,,3482,60.0,0.002,0.8009827136993408,1.0,0,,,nan,407498726.0
5723175566.0,928015118.0,tertiary,nan,104.0,0.0,0.0,163.0,"[17863.0, 493.0]",nan,Rua 25 de Junho,None,,3687,60.0,0.003,0.9009826183319092,1.0,0,,,nan,407498726.0
3819735724.0,928015118.0,tertiary,nan,nan,0.0,0.0,251.0,"[4663.0, 299.0]",nan,nan,None,,1488,60.0,0.004,0.8812601566314697,1.0,0,,,nan,232358321.0
928015122.0,928015118.0,residential,nan,nan,0.0,1.0,11.0,"[149.0, 15503.0, 20062.0]",nan,nan,None,,101,41.0,0.003,0.7309825420379639,1.0,0,928015118.0,13426690286.0,928015118_13426690286,79499359.0
3433511023.0,928015121.0,unclassified,nan,nan,0.0,1.0,80.0,3572,nan,Avenida 7 de Setembro,nan,,1153,50.0,0.002,0.32073211669921875,1.0,0,,,nan,79499358.0
2407129271.0,928015121.0,unclassified,nan,nan,0.0,0.0,147.0,307,nan,Avenida 7 de Setembro,nan,,188,50.0,0.003,0.35073232650756836,0.8507063946070327,0,,,nan,79499358.0
1802763021.0,928015121.0,primary,nan,N10,0.0,0.0,98.0,159,nan,nan,nan,,106,50.0,0.002,0.32073211669921875,0.566119170826636,0,,,nan,475152145.0
3398957105.0,928015122.0,unclassified,nan,nan,0.0,1.0,162.0,1984,nan,Avenida 7 de Setembro,nan,,579,50.0,0.003,0.9609825611114502,1.0,0,,,nan,79499358.0
1802763060.0,928015122.0,unclassified,nan,nan,0.0,0.0,72.0,215,nan,Avenida 7 de Setembro,nan,,153,50.0,0.001,0.8709826469421387,1.0,0,,,nan,79499358.0
928015122.0,928015118.0,residential,nan,nan,0.0,1.0,102.0,"[149.0, 15503.0, 20062.0]",nan,nan,None,,101,41.0,0.003,0.8709826469421387,1.0,0,13426690286.0,928015122.0,13426690286_928015122.0,79499359.0
4095517088.0,928015131.0,tertiary,nan,nan,0.0,1.0,8.0,15895,nan,nan,nan,,3340,60.0,0.0,0.3507528305053711,1.0,0,,,nan,606462609.0
3428515882.0,928015131.0,tertiary,nan,nan,0.0,0.0,139.0,"[2533.0, 7559.0, 7561.0, 27196.0]",nan,nan,None,,785,60.0,0.002,0.42075300216674805,0.6899983784838595,0,,,nan,232358319.0
928015131.0,5749767507.0,tertiary,nan,nan,1.0,0.0,228.0,"[15992.0, 15993.0, 20067.0, 26761.0]",nan,nan,None,,104,60.0,0.004,0.8320398330688477,0.8209508270962569,0,,,nan,407498729.0
928015131.0,5725999660.0,tertiary,nan,nan,1.0,0.0,109.0,"[151.0, 15994.0]",nan,nan,None,,105,60.0,0.002,0.670752763748169,0.6944539382920644,0,,,nan,602589377.0
3398946971.0,1802763021.0,residential,nan,nan,0.0,0.0,265.0,"[1948.0, 22057.0, 22059.0, 22061.0, 17848.0, 1942.0, 17851.0]",nan,nan,None,,561,41.0,0.006,0.30010509490966797,0.5524988755912298,0,,,nan,332760713.0
1802763023.0,1802763021.0,residential,nan,nan,0.0,0.0,241.0,"[163.0, 3585.0, 3583.0, 3581.0, 3579.0, 3577.0, 3575.0]",nan,nan,None,,112,41.0,0.006,0.5901050567626953,0.7625950292014617,0,,,nan,169106296.0
