id,y,x,street_count,railway,highway,degree,od_id,EV1_ma,node_fid,speciallabel
331709118.0,-17.8364193,36.9214942,3.0,,,6.0,nan,,,nan
331709122.0,-17.8425619,36.9286631,3.0,,,6.0,nan,,,nan
331709123.0,-17.8404785,36.9308974,3.0,,,6.0,O_684,0.0,,nan
331709132.0,-17.8107998,36.9653088,2.0,,,2.0,"O_134,O_135,O_158,O_159,O_184",2.6395583152770996,,nan
331711849.0,-17.8779291,36.8938065,4.0,,,8.0,nan,,,nan
331711854.0,-17.8765226,36.8919584,4.0,,,8.0,nan,,,nan
331711859.0,-17.8755245,36.8906106,4.0,,,8.0,nan,,,nan
331711873.0,-17.8764052,36.8898931,4.0,,,8.0,nan,,,nan
331711876.0,-17.8618962,36.8954989,3.0,,,6.0,nan,,,nan
331711884.0,-17.8572766,36.8996403,3.0,,,6.0,nan,,,nan
331711893.0,-17.8403342,36.9173469,4.0,,,8.0,nan,,,nan
771226514.0,-17.8727547,36.8928087,4.0,,,8.0,O_1535,2.1024583844910905,,nan
771226628.0,-17.8698433,36.8950979,4.0,,,8.0,nan,,,nan
771226715.0,-17.8665138,36.891367,4.0,,,8.0,nan,,,nan
771226740.0,-17.8765915,36.8835323,4.0,,,8.0,nan,,,nan
925661667.0,-17.8820925,36.8853267,3.0,,,6.0,O_1696,1.8374132743131097,,nan
925661704.0,-17.8835947,36.8883361,3.0,,,5.0,nan,,,nan
925661865.0,-17.8814288,36.8904202,4.0,,,8.0,nan,,,nan
925661889.0,-17.8802022,36.8868542,4.0,,,8.0,nan,,,nan
925662450.0,-17.8729666,36.8985942,3.0,,,6.0,nan,,,nan
925662514.0,-17.8839496,36.8880592,3.0,,,6.0,nan,,,nan
925662622.0,-17.8815201,36.8858101,4.0,,,6.0,nan,,,nan
925662643.0,-17.8824499,36.8894573,4.0,,,8.0,nan,,,nan
926903456.0,-17.8784186,36.8799267,3.0,,,6.0,O_1667,1.6921268290721798,,nan
926903464.0,-17.8774237,36.8808366,3.0,,,5.0,nan,,,nan
928015111.0,-17.8581708,36.8729301,2.0,,,3.0,"O_1027,O_1028,O_1071,O_1072,O_1115,O_1116",2.5012426376342773,,nan
928015116.0,-17.8725193,36.8866074,4.0,,,8.0,nan,,,nan
928015118.0,-17.8714656,36.8850363,4.0,,,8.0,nan,,,nan
928015121.0,-17.8733968,36.8859395,4.0,,,8.0,O_1532,2.4595582485198975,,nan
928015122.0,-17.8721817,36.8842846,3.0,,,6.0,nan,,,nan
928015131.0,-17.86926,36.8818116,4.0,,,6.0,nan,,,nan
1802763021.0,-17.8741064,36.885383,4.0,,,8.0,nan,,,nan
1802763023.0,-17.8742762,36.8831152,3.0,,,6.0,nan,,,nan
