u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,maxspeed,ref,access,junction
99010508,10305064861,0,1126987326,residential,3,Sheridan Avenue,False,True,5.899181248078245,7336,1800,43.0,0.0,nan,,0.0,0.9533333778381348,1.0,0.6100000143051147,1.0,[np.float64(681.0)],681.0,[np.float64(487.0)],487.0,[np.float64(nan)],0.0,nan,nan,nan,nan
99010508,99068180,0,1126987325,residential,3,Sheridan Avenue,False,False,39.898249360736244,"[7361, 7363, 7365, 133, 2877]",81,43.0,0.001,nan,,0.0,0.8333332538604736,1.0,0.48666663964589435,1.0,"[np.float64(1106.0), np.float64(736.0), np.float64(611.0), np.float64(690.0), np.float64(1108.0)]",4251.0,"[np.float64(788.0), np.float64(499.0), np.float64(398.0), np.float64(430.0), np.float64(774.0)]",2889.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010508,99010512,0,11107090,residential,1,nan,True,False,43.296624434886056,"[7332, 2544, 7315, 7316, 23, 7317, 7319, 7318, 26]",4,43.0,0.001,nan,,0.0,0.9885714394705636,1.0,0.6414285387311663,1.0,"[np.float64(310.0), np.float64(146.0), np.float64(141.0), np.float64(105.0), np.float64(415.0), np.float64(102.0), np.float64(138.0), np.float64(200.0), np.float64(140.0)]",1697.0,"[np.float64(221.0), np.float64(106.0), np.float64(101.0), np.float64(75.0), np.float64(302.0), np.float64(74.0), np.float64(96.0), np.float64(143.0), np.float64(99.0)]",1217.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010511,2634730291,0,11116899,secondary,2,Pine Tree Drive,True,False,82.65783434006134,"[129, 2538, 2541, 7342, 4589, 7343, 7344, 22]",3,32.0,0.003,nan,,0.0,0.7600000088031476,1.0,0.41384612596952,1.0,"[np.float64(811.0), np.float64(875.0), np.float64(1106.0), np.float64(855.0), np.float64(6719.0), np.float64(804.0), np.float64(725.0), np.float64(1465.0)]",13360.0,"[np.float64(496.0), np.float64(538.0), np.float64(662.0), np.float64(521.0), np.float64(4097.0), np.float64(495.0), np.float64(446.0), np.float64(958.0)]",8213.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,20 mph,nan,nan,nan
99010511,99068180,0,11116899,secondary,2,Pine Tree Drive,True,False,47.79290547097811,"[130, 7340, 7341]",78,32.0,0.001,nan,,0.0,0.8166667620340983,1.0,0.46833332379659015,1.0,"[np.float64(2981.0), np.float64(2187.0), np.float64(2973.0)]",8141.0,"[np.float64(1932.0), np.float64(1386.0), np.float64(2027.0)]",5345.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,20 mph,nan,nan,nan
99010511,10305064861,0,11107089,residential,1,nan,True,False,36.98914980765474,"[7333, 7334, 7337, 7338, 7339, 21]",1801,43.0,0.001,nan,,0.0,0.8079999923706055,1.0,0.4680000305175781,1.0,"[np.float64(97.0), np.float64(472.0), np.float64(88.0), np.float64(117.0), np.float64(342.0), np.float64(91.0)]",1207.0,"[np.float64(50.0), np.float64(318.0), np.float64(46.0), np.float64(75.0), np.float64(222.0), np.float64(53.0)]",764.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010512,99288475,0,743283720,residential,2,West 46th Street,False,True,126.28691003747258,"[7308, 7314, 1428]",958,43.0,0.003,nan,,0.0,1.1513333638509116,1.0,0.8120000839233399,1.0,"[np.float64(9807.0), np.float64(351.0), np.float64(545.0)]",10703.0,"[np.float64(7812.0), np.float64(295.0), np.float64(452.0)]",8559.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010512,99068180,0,1126987324,residential,3,West 46th Street,False,False,40.83582506743409,"[7348, 132, 2879]",80,43.0,0.001,nan,,0.0,0.919999917348226,1.0,0.5716666380564371,1.0,"[np.float64(836.0), np.float64(694.0), np.float64(3070.0)]",4600.0,"[np.float64(560.0), np.float64(422.0), np.float64(2216.0)]",3198.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010517,99109973,0,432736341,residential,nan,West 40th Street,False,True,75.16327466644753,"[4456, 4722, 595, 4724, 8792, 5370, 5372]",400,43.0,0.002,nan,,0.0,0.3800000250339508,0.8916120586976387,0.2775000035762787,0.4696076562556805,"[np.float64(359.0), np.float64(985.0), np.float64(637.0), np.float64(254.0), np.float64(283.0), np.float64(18.0), np.float64(39.0)]",2575.0,"[np.float64(nan), np.float64(442.0), np.float64(402.0), np.float64(nan), np.float64(175.0), np.float64(nan), np.float64(nan)]",1019.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010517,99068168,0,"[432723977, 1469368086]",secondary,2,Pine Tree Drive,True,False,204.39837371752213,"[7841, 4720, 3672, 28, 5373]",8,48.0,0.004,nan,,0.0,0.11150000095367432,0.9020782650899691,,0.0,"[np.float64(nan), np.float64(4080.0), np.float64(74.0), np.float64(nan), np.float64(726.0)]",4880.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,30 mph,nan,nan,nan
