u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,risk_al_segments,risk_al,maxspeed,ref,access,junction
99010508,10305064861,0,1126987326,residential,3,Sheridan Avenue,False,True,5.899181248078245,6637,1609,43.0,0.0,nan,,0.0,0.9533333778381348,1.0,0.6100000143051147,1.0,[np.float64(681.0)],681.0,[np.float64(487.0)],487.0,[np.float64(nan)],0.0,[np.float64(261.5)],261.5,nan,nan,nan,nan
99010508,99068180,0,1126987325,residential,3,Sheridan Avenue,False,False,39.898249360736244,"[6662, 6664, 6666, 2666, 127]",77,43.0,0.001,nan,,0.0,0.8333332538604736,1.0,0.48666663964589435,1.0,"[np.float64(1106.0), np.float64(736.0), np.float64(611.0), np.float64(1108.0), np.float64(690.0)]",4251.0,"[np.float64(788.0), np.float64(499.0), np.float64(398.0), np.float64(774.0), np.float64(430.0)]",2889.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(423.24), np.float64(269.08), np.float64(215.34), np.float64(416.37), np.float64(233.55)]",1557.58,nan,nan,nan,nan
99010508,99010512,0,11107090,residential,1,nan,True,False,43.296624434886056,"[6633, 6618, 2386, 23, 6616, 6617, 26, 6619, 6620]",4,43.0,0.001,nan,,0.0,0.9885714394705636,1.0,0.6414285387311663,1.0,"[np.float64(310.0), np.float64(102.0), np.float64(146.0), np.float64(415.0), np.float64(141.0), np.float64(105.0), np.float64(140.0), np.float64(200.0), np.float64(138.0)]",1697.0,"[np.float64(221.0), np.float64(74.0), np.float64(106.0), np.float64(302.0), np.float64(101.0), np.float64(75.0), np.float64(99.0), np.float64(143.0), np.float64(96.0)]",1217.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(118.7), np.float64(39.69), np.float64(56.85), np.float64(161.94), np.float64(54.22), np.float64(40.28), np.float64(53.2), np.float64(76.78), np.float64(51.66)]",653.32,nan,nan,nan,nan
99010511,2634730291,0,11116899,secondary,2,Pine Tree Drive,True,False,82.65783434006134,"[4196, 2380, 2383, 6643, 6644, 6645, 22, 123]",3,32.0,0.003,nan,,0.0,0.7600000088031476,1.0,0.41384612596952,1.0,"[np.float64(6719.0), np.float64(875.0), np.float64(1106.0), np.float64(855.0), np.float64(804.0), np.float64(725.0), np.float64(1465.0), np.float64(811.0)]",13360.0,"[np.float64(4097.0), np.float64(538.0), np.float64(662.0), np.float64(521.0), np.float64(495.0), np.float64(446.0), np.float64(958.0), np.float64(496.0)]",8213.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2229.58), np.float64(292.56), np.float64(360.87), np.float64(283.54), np.float64(269.14), np.float64(242.52), np.float64(518.16), np.float64(269.85)]",4466.22,20 mph,nan,nan,nan
99010511,99068180,0,11116899,secondary,2,Pine Tree Drive,True,False,47.79290547097811,"[6641, 6642, 124]",74,32.0,0.001,nan,,0.0,0.8166667620340983,1.0,0.46833332379659015,1.0,"[np.float64(2187.0), np.float64(2973.0), np.float64(2981.0)]",8141.0,"[np.float64(1386.0), np.float64(2027.0), np.float64(1932.0)]",5345.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(751.68), np.float64(1092.55), np.float64(1045.77)]",2890.0,20 mph,nan,nan,nan
99010511,10305064861,0,11107089,residential,1,nan,True,False,36.98914980765474,"[6634, 6635, 6638, 6639, 6640, 21]",1610,43.0,0.001,nan,,0.0,0.8079999923706055,1.0,0.4680000305175781,1.0,"[np.float64(97.0), np.float64(472.0), np.float64(88.0), np.float64(117.0), np.float64(342.0), np.float64(91.0)]",1207.0,"[np.float64(50.0), np.float64(318.0), np.float64(46.0), np.float64(75.0), np.float64(222.0), np.float64(53.0)]",764.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(27.66), np.float64(171.57), np.float64(25.41), np.float64(40.64), np.float64(120.15), np.float64(28.96)]",414.39,nan,nan,nan,nan
99010512,99288475,0,743283720,residential,2,West 46th Street,False,True,126.28691003747258,"[6609, 1309, 6615]",861,43.0,0.003,nan,,0.0,1.1513333638509116,1.0,0.8120000839233399,1.0,"[np.float64(9807.0), np.float64(545.0), np.float64(351.0)]",10703.0,"[np.float64(7812.0), np.float64(452.0), np.float64(295.0)]",8559.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(4161.15), np.float64(240.09), np.float64(156.56)]",4557.8,nan,nan,nan,nan
99010512,99068180,0,1126987324,residential,3,West 46th Street,False,False,40.83582506743409,"[6649, 2668, 126]",76,43.0,0.001,nan,,0.0,0.919999917348226,1.0,0.5716666380564371,1.0,"[np.float64(836.0), np.float64(3070.0), np.float64(694.0)]",4600.0,"[np.float64(560.0), np.float64(2216.0), np.float64(422.0)]",3198.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(302.28), np.float64(1189.02), np.float64(229.71)]",1721.01,nan,nan,nan,nan
99010517,99109973,0,432736341,residential,nan,West 40th Street,False,True,75.16327466644753,"[546, 4324, 4326, 8044, 4077, 4890, 4892]",367,43.0,0.002,nan,,0.0,0.3800000250339508,0.8916120586976387,0.2775000035762787,0.4696076562556805,"[np.float64(637.0), np.float64(985.0), np.float64(254.0), np.float64(283.0), np.float64(359.0), np.float64(18.0), np.float64(39.0)]",2575.0,"[np.float64(402.0), np.float64(442.0), np.float64(nan), np.float64(175.0), np.float64(nan), np.float64(nan), np.float64(nan)]",1019.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(218.1), np.float64(248.34), np.float64(7.62), np.float64(95.12), np.float64(10.77), np.float64(0.54), np.float64(1.17)]",581.66,nan,nan,nan,nan
99010517,99068168,0,"[432723977, 1469368086]",secondary,2,Pine Tree Drive,True,False,204.39837371752213,"[4322, 7112, 3382, 28, 4893]",8,48.0,0.004,nan,,0.0,0.11150000095367432,0.9020782650899691,,0.0,"[np.float64(4080.0), np.float64(nan), np.float64(74.0), np.float64(nan), np.float64(726.0)]",4880.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(122.4), np.float64(0.0), np.float64(2.22), np.float64(0.0), np.float64(21.78)]",146.4,30 mph,nan,nan,nan
99010517,99238038,0,11143828,residential,1,Tree Drive,True,False,119.03540308858466,"[4968, 1034, 4526, 2321, 7103]",695,43.0,0.003,nan,,0.0,0.16461537434504583,0.9913753135168707,,0.0,"[np.float64(85.0), np.float64(161.0), np.float64(70.0), np.float64(54.0), np.float64(531.0)]",901.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2.55), np.float64(4.83), np.float64(2.1), np.float64(1.62), np.float64(15.93)]",27.03,nan,nan,nan,nan
99010517,4316691305,0,1469368086,secondary,2,Pine Tree Drive,True,False,35.66530547352015,"[4888, 3369, 107]",1456,48.0,0.001,nan,,0.0,0.06499999761581421,0.731235307402099,,0.0,"[np.float64(138.0), np.float64(127.0), np.float64(174.0)]",439.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(4.14), np.float64(3.81), np.float64(5.22)]",13.17,30 mph,nan,nan,nan
