o_id,EV1_ma,EV1_ma_A
O_0,0.0,no access
O_1,2.6395583152770996,no access
O_2,2.1024583844910905,access
O_3,1.8374132743131097,access
O_4,1.6921268290721798,access
O_5,2.5012426376342773,no access
O_6,2.4595582485198975,no access
O_7,1.9437025896685534,access
O_8,1.4845133394895784,access
O_9,1.5727315690383012,access
O_10,1.8563191299191542,access
O_11,1.5770583720848972,access
O_12,1.3515582519444425,access
O_13,0.6303160097200557,access
O_14,2.2584124125538096,access
O_15,1.7592213526199925,access
O_16,1.563768078855676,access
O_17,0.5593514442443848,access
O_18,0.0,access
O_19,0.0,access
O_20,1.8332133176611576,access
O_21,1.0601327734991843,access
O_22,0.7997462749481201,access
O_23,0.3724942207336426,access
O_24,0.0,access
O_25,0.0,access
O_26,1.7025205232534266,access
O_27,0.8273989857484522,access
O_28,0.0,access
O_29,0.0,access
O_30,0.0,access
O_31,0.0,access
O_32,0.0,access
O_33,1.9189882337604236,no access
O_34,1.2616676321650995,access
O_35,0.8766532592967001,access
O_36,0.0,access
O_37,0.0,access
O_38,0.0,access
O_39,0.0,access
O_40,0.0,access
O_41,0.0,access
O_42,2.36260267273685,no access
O_43,1.763278503419117,no access
O_44,0.0,no access
O_45,0.34993791580200195,access
O_46,0.0,access
O_47,0.0,access
O_48,0.0,access
O_49,0.0,access
O_50,0.0,access
O_51,0.0,access
O_52,0.0,access
O_53,0.6495130062103271,no access
O_54,0.17029762268066406,no access
O_55,0.0,no access
O_56,0.0,access
O_57,0.0,access
O_58,0.0,access
O_59,0.0,access
O_60,0.0,access
O_61,0.0,access
O_62,0.0,access
O_63,0.0,access
O_64,1.8190097610716498,no access
O_65,1.2717092853083136,no access
O_66,0.6584503404894562,no access
O_67,0.0,no access
O_68,0.8074835180818574,no access
O_69,0.0,access
O_70,0.0,access
O_71,0.0,access
O_72,0.0,access
O_73,0.0,access
O_74,0.0,access
O_75,0.0,access
O_76,0.0,access
O_77,2.175963651618167,no access
O_78,1.40046257368599,no access
O_79,1.2566689451535356,access
O_80,1.2245827487838599,access
O_81,0.8702842699813229,no access
O_82,0.32976865768432617,no access
O_83,0.0,access
O_84,0.0,access
O_85,0.0,access
O_86,0.0,access
O_87,0.0,access
O_88,0.0,access
O_89,0.0,access
O_90,0.0,access
O_91,0.0,access
O_92,0.49553537368774414,no access
O_93,2.034527596693444,no access
O_94,2.3421740170725487,no access
O_95,2.0330783133791175,no access
O_96,1.9893933138157553,no access
O_97,1.4854573748442725,no access
O_98,1.3113612753689918,no access
O_99,1.3361549689228756,no access
O_100,1.2597134156429075,no access
O_101,0.0,access
O_102,0.0,access
O_103,0.0,access
O_104,0.0,access
O_105,0.0,access
O_106,0.0,access
O_107,0.0,access
O_108,0.0,access
O_109,0.0,access
O_110,0.0,access
O_111,0.0,access
O_112,0.0,access
O_113,1.7979527466029688,no access
O_114,2.0626978112496213,no access
O_115,1.7004688622046333,no access
O_116,1.9197629746008589,no access
O_117,1.697233716007146,no access
O_118,1.2574403730222221,no access
O_119,1.0391168214001898,no access
O_120,1.3651930387751268,no access
O_121,1.5302490314048434,no access
O_122,1.023698600597691,no access
O_123,0.22220563888549805,no access
O_124,0.905347751934044,no access
O_125,0.0,access
O_126,0.0,access
O_127,0.0,access
O_128,0.0,access
O_129,0.0,access
O_130,0.0,access
O_131,0.0,access
O_132,0.0,access
O_133,0.0,access
O_134,0.0,access
O_135,0.0,access
O_136,1.9611393253833564,no access
O_137,2.043284904189505,no access
O_138,2.5708020106532,no access
O_139,1.548253797101781,no access
O_140,1.5609042433305294,no access
O_141,0.6138142429155907,no access
O_142,0.0,no access
O_143,1.40706717562683,no access
O_144,1.494778664790035,no access
O_145,0.0,no access
O_146,0.0,access
O_147,0.4606905703016017,no access
O_148,0.32138633728027344,no access
O_149,0.0,access
O_150,0.0,access
O_151,0.0,access
O_152,0.0,access
O_153,0.0,access
O_154,0.0,access
O_155,0.0,access
O_156,0.0,access
O_157,0.0,access
